Sample,BSi %,TOC %,Notes
AS-01 (8_24_16).0,21.00,16.7,
AS-03 (8_29_16).0,12.00,9.7,
AS-04 (8_29_16).0,12.00,11.6,Highlighted in yellow on BSi Spreadsheet
AS-05 (8_29_16).0,13.00,19.2,
AS-07 (8_24_16).0,17.00,14.1,
AS-08 (8_29_16).0,16.00,16.8,
AS-10 (8_29_16).0,19.00,17.7,Highlighted in yellow on BSi Spreadsheet
AS-11 (8_29_16).0,17.00,15.2,
AS-12 (8_29_16).0,19.00,14,
AS-14 (8_29_16).0,17.00,17.4,
AS-15 (8_29_16).0,22.00,16.7,
AS-19 (8_29_16).0,23.00,18.7,
AS-22 (8_30_16).0,19.00,16.5,
AS-23 (8_24_16).0,18.00,13.6,
AS-24 (8_24_16).0,9.00,5,
AS-29 (8_29_16).0,17.00,21.5,
AS-32 (8_29_16).0,27.00,20.6,
AS-33 (8_29_16).0,22.00,17.8,
AS-35 (8_24_16).0,25.00,19.8,Highlighted in yellow on BSi Spreadsheet
AS-36 (8_29_16).0,28.00,21.7,
AS-38 (8_24_16).0,21.00,20.3,
AS-39 (8_29_16).0,27.00,19.7,
AS-41 (8_30_16).0,25.00,22.4,
AS-43 (8_29_16).0,25.00,19.8,
AS-44 (8_29_16).0,25.00,21.3,
AS-47 (8_29_16).0,22.00,17.5,
AS-48 (8_24_16).0,19.00,18.4,
AS-49 (8_24_16).0,24.00,18.9,
AS-51 (8_24_16).0,26.00,17.8,
AS-52 (8_31_16).0,25.00,18.9,
AS-53 (8_24_16).0,21.00,18.2,
AS-55 (8_29_16).0,21.00,14.2,
AS-57 (8_29_16).0,18.00,14.9,
AS-59 (8_29_16).0,19.00,12.1,
AS-61 (8_29_16).0,22.00,17.3,
AS-66 (8_24_16).0,7.00,5.6,
AS-67 (8_31_16).0,20.00,13.5,
AS-71 (8_24_16).0,15.00,12.7,
AS-73 (8_24_16).0,22.00,15.5,Highlighted in yellow on BSi Spreadsheet
AS-77 (8_24_16).0,21.00,16.2,
AS-79 (8_24_16).0,17.00,11.4,Highlighted in yellow on BSi Spreadsheet
AS-85.5 (8_24_16).0,24.00,19.5,Highlighted in yellow on BSi Spreadsheet
AS-86.5 (8_29_16).0,26.00,20.4,
AS-91.5 (8_24_16).0,24.00,20.2,Highlighted in yellow on BSi Spreadsheet
AS-92.5 (8_29_16).0,25.00,19.6,
AS-93.5 (8_24_16).0,26.00,19.5,
AS-99.5 (8_24_16).0,20.00,14.6,
AS-102.5 (8_29_16).0,23.00,16.2,
AS-105.5 (8_24_16).0,28.00,20.4,
AS-107.5 (8_29_16).0,27.00,19.7,
AS-113.5 (8_30_16).0,21.00,16.5,
AS-114.5 (8_24_16).0,23.00,17.9,Highlighted in orange on BSi Spreadsheet
AS-117.5 (8_31_16).0,23.00,18.2,
AS-119.5 (8_29_16).0,24.00,19.4,
AS-128 (8_30_16).0,24.00,20.5,
AS-130 (8_31_16).0,24.00,20.4,
AS-132 (8_29_16).0,23.00,21.2,
AS-197 (8_30_16).0,17.00,12.3,
AS-213 (8_31_16).0,20.00,16.7,
AS-216 (8_31_16).0,17.00,11.6,Highlighted in yellow on BSi Spreadsheet
AS-229 (8_31_16).0,24.00,21,
AS-256 (8_24_16).0,27.00,18.9,
AS-259 (8_29_16).0,25.00,19.9,
AS-266 (8_31_16).0,20.00,15.6,
AS-280 (8_31_16).0,19.00,12.3,
AS-290 (8_31_16).0,25.00,13.2,
AS-303 (8_31_16).0,18.00,10.3,
AS-311 (8_24_16).0,16.00,9.2,
AS-323.25 (8_31_16).0,24.00,14.8,
AS-331 (8_31_16).0,25.00,10.6,
AS-332 (8_31_16).0,18.00,9.4,
AS-342 (8_30_16).0,29.00,9.4,
AS-347 (8_29_16).0,21.00,8.7,
AS-348 (8_31_16).0,27.00,10.5,
AS-355.5 (8_29_16).0,14.00,8,
AS-364 (8_24_16).0,24.00,12,Highlighted in yellow on BSi Spreadsheet
AS-382 (8_30_16).0,16.00,6.7,
AS-383 (8_29_16).0,10.00,4,
AS-384 (8_31_16).0,14.00,5.4,
AS-393.5 (8_30_16).0,14.00,7.1,
AS-394.5 (8_30_16).0,25.00,8,
AS-395.5 (8_29_16).0,18.00,5.8,
AS-400 (8_31_16).0,16.00,5.3,
AS-416 (8_31_16).0,22.00,19.1,Highlighted in yellow on BSi Spreadsheet
AS-417 (8_29_16).0,27.00,16,
AS-418 (8_31_16).0,14.00,15.6,
AS-421.5 (8_30_16).0,25.00,25.7,
AS-423 (8_30_16).0,28.00,7.4,
AS-424.5 (8_30_16).0,28.00,5.9,
AS-542 (8_29_16).0,13.00,3.4,
AW-7.5 (8_31_16).0,16,4.3,
AW-11.5 (8_31_16).0,13,4.1,
AW-17.5 (8_31_16).0,18,7.3,
AW-34.5 (8_31_16).0,10,6.9,
AW-73 (8_31_16).0,19,8.4,
AW-107.5 (8_31_16).0,24,6.5,
AW-124 (8_31_16).0,23,6.6,
AW-142.5 (8_31_16).0,28,6.6,
AW-210 (8_31_16).0,20,6.3,
AW-400.5 (8_31_16).0,16,4.8,Highlighted in Yellow on BSi Sheet
AW-410 (8_31_16).0,12,4.7,
AW-424.5 (8_31_16).0,10,3.1,
