,wavenumber,absorbance
0,3747.24323,0.0
1,3745.31464,0.00196
2,3743.38605,0.0002
3,3741.45747,6e-05
4,3739.52888,0.00231
5,3737.6003,0.0033
6,3735.67171,0.00327
7,3733.74312,0.00329
8,3731.81454,0.00366
9,3729.88595,0.00402
10,3727.95736,0.00537
11,3726.02878,0.00632
12,3724.10019,0.00685
13,3722.17161,0.00823
14,3720.24302,0.00925
15,3718.31443,0.01106
16,3716.38585,0.01321
17,3714.45726,0.01607
18,3712.52867,0.01887
19,3710.60009,0.02022
20,3708.6715,0.02276
21,3706.74291,0.02583
22,3704.81433,0.02948
23,3702.88574,0.03275
24,3700.95716,0.03459
25,3699.02857,0.03674
26,3697.09998,0.03835
27,3695.1714,0.03956
28,3693.24281,0.04032
29,3691.31422,0.04146
30,3689.38564,0.04247
31,3687.45705,0.0427
32,3685.52846,0.04481
33,3683.59988,0.04781
34,3681.67129,0.05073
35,3679.74271,0.05377
36,3677.81412,0.05797
37,3675.88553,0.06128
38,3673.95695,0.06318
39,3672.02836,0.06804
40,3670.09977,0.07205
41,3668.17119,0.07449
42,3666.2426,0.07856
43,3664.31402,0.08243
44,3662.38543,0.08627
45,3660.45684,0.08994
46,3658.52826,0.09387
47,3656.59967,0.09715
48,3654.67108,0.09929
49,3652.7425,0.10301
50,3650.81391,0.10649
51,3648.88532,0.10826
52,3646.95674,0.10979
53,3645.02815,0.11231
54,3643.09957,0.11538
55,3641.17098,0.11801
56,3639.24239,0.12052
57,3637.31381,0.12292
58,3635.38522,0.12567
59,3633.45663,0.12822
60,3631.52805,0.13112
61,3629.59946,0.13356
62,3627.67088,0.13359
63,3625.74229,0.13497
64,3623.8137,0.13711
65,3621.88512,0.13847
66,3619.95653,0.13902
67,3618.02794,0.13761
68,3616.09936,0.13703
69,3614.17077,0.1371
70,3612.24218,0.13664
71,3610.3136,0.1366
72,3608.38501,0.13628
73,3606.45643,0.13587
74,3604.52784,0.13595
75,3602.59925,0.13633
76,3600.67067,0.13651
77,3598.74208,0.13658
78,3596.81349,0.13705
79,3594.88491,0.13744
80,3592.95632,0.13757
81,3591.02774,0.13821
82,3589.09915,0.13934
83,3587.17056,0.13973
84,3585.24198,0.13991
85,3583.31339,0.14086
86,3581.3848,0.14206
87,3579.45622,0.14311
88,3577.52763,0.14411
89,3575.59904,0.14527
90,3573.67046,0.14634
91,3571.74187,0.14738
92,3569.81329,0.149
93,3567.8847,0.1504
94,3565.95611,0.1511
95,3564.02753,0.15217
96,3562.09894,0.15361
97,3560.17035,0.15494
98,3558.24177,0.15637
99,3556.31318,0.15769
100,3554.38459,0.15903
101,3552.45601,0.16043
102,3550.52742,0.16167
103,3548.59884,0.16316
104,3546.67025,0.16452
105,3544.74166,0.16557
106,3542.81308,0.16673
107,3540.88449,0.16808
108,3538.9559,0.16946
109,3537.02732,0.17051
110,3535.09873,0.17164
111,3533.17015,0.17317
112,3531.24156,0.17464
113,3529.31297,0.17574
114,3527.38439,0.17669
115,3525.4558,0.17787
116,3523.52721,0.17904
117,3521.59863,0.18005
118,3519.67004,0.18121
119,3517.74145,0.18262
120,3515.81287,0.18409
121,3513.88428,0.18532
122,3511.9557,0.18631
123,3510.02711,0.18743
124,3508.09852,0.1886
125,3506.16994,0.18974
126,3504.24135,0.19092
127,3502.31276,0.1918
128,3500.38418,0.19283
129,3498.45559,0.19419
130,3496.52701,0.19528
131,3494.59842,0.19624
132,3492.66983,0.19729
133,3490.74125,0.19847
134,3488.81266,0.19951
135,3486.88407,0.2004
136,3484.95549,0.20134
137,3483.0269,0.20231
138,3481.09831,0.20323
139,3479.16973,0.20404
140,3477.24114,0.20512
141,3475.31256,0.2062
142,3473.38397,0.20698
143,3471.45538,0.20763
144,3469.5268,0.20828
145,3467.59821,0.20918
146,3465.66962,0.20998
147,3463.74104,0.21079
148,3461.81245,0.21166
149,3459.88386,0.2123
150,3457.95528,0.21304
151,3456.02669,0.21385
152,3454.09811,0.21448
153,3452.16952,0.21516
154,3450.24093,0.21602
155,3448.31235,0.21676
156,3446.38376,0.2174
157,3444.45517,0.218
158,3442.52659,0.21864
159,3440.598,0.21941
160,3438.66942,0.22019
161,3436.74083,0.22077
162,3434.81224,0.22105
163,3432.88366,0.22171
164,3430.95507,0.22243
165,3429.02648,0.22288
166,3427.0979,0.22344
167,3425.16931,0.22383
168,3423.24072,0.2244
169,3421.31214,0.22496
170,3419.38355,0.22531
171,3417.45497,0.22582
172,3415.52638,0.22614
173,3413.59779,0.2265
174,3411.66921,0.22703
175,3409.74062,0.22745
176,3407.81203,0.22785
177,3405.88345,0.22821
178,3403.95486,0.22852
179,3402.02628,0.22879
180,3400.09769,0.22908
181,3398.1691,0.22946
182,3396.24052,0.22987
183,3394.31193,0.23018
184,3392.38334,0.2304
185,3390.45476,0.23061
186,3388.52617,0.23094
187,3386.59758,0.23134
188,3384.669,0.23156
189,3382.74041,0.23164
190,3380.81183,0.23162
191,3378.88324,0.23173
192,3376.95465,0.23215
193,3375.02607,0.23249
194,3373.09748,0.23272
195,3371.16889,0.23287
196,3369.24031,0.23292
197,3367.31172,0.23319
198,3365.38314,0.2336
199,3363.45455,0.23399
200,3361.52596,0.2342
201,3359.59738,0.23417
202,3357.66879,0.23413
203,3355.7402,0.23428
204,3353.81162,0.23458
205,3351.88303,0.23455
206,3349.95444,0.23451
207,3348.02586,0.23489
208,3346.09727,0.23504
209,3344.16869,0.23509
210,3342.2401,0.23522
211,3340.31151,0.23504
212,3338.38293,0.23496
213,3336.45434,0.23507
