,wavenumber,absorbance
0,3747.24323,0.00087
1,3745.31464,0.003
2,3743.38605,0.00035
3,3741.45747,0.0
4,3739.52888,0.00281
5,3737.6003,0.00385
6,3735.67171,0.00357
7,3733.74312,0.00333
8,3731.81454,0.00348
9,3729.88595,0.00367
10,3727.95736,0.00521
11,3726.02878,0.0063
12,3724.10019,0.00667
13,3722.17161,0.00812
14,3720.24302,0.00927
15,3718.31443,0.01126
16,3716.38585,0.01345
17,3714.45726,0.0165
18,3712.52867,0.01948
19,3710.60009,0.02038
20,3708.6715,0.02297
21,3706.74291,0.0262
22,3704.81433,0.02984
23,3702.88574,0.03334
24,3700.95716,0.03517
25,3699.02857,0.03719
26,3697.09998,0.03861
27,3695.1714,0.03954
28,3693.24281,0.03993
29,3691.31422,0.04096
30,3689.38564,0.04172
31,3687.45705,0.04107
32,3685.52846,0.04265
33,3683.59988,0.04576
34,3681.67129,0.04906
35,3679.74271,0.05221
36,3677.81412,0.05658
37,3675.88553,0.06
38,3673.95695,0.06196
39,3672.02836,0.06759
40,3670.09977,0.07192
41,3668.17119,0.07453
42,3666.2426,0.07951
43,3664.31402,0.08423
44,3662.38543,0.08872
45,3660.45684,0.09268
46,3658.52826,0.09703
47,3656.59967,0.10072
48,3654.67108,0.10312
49,3652.7425,0.10756
50,3650.81391,0.11162
51,3648.88532,0.11331
52,3646.95674,0.11481
53,3645.02815,0.1179
54,3643.09957,0.12137
55,3641.17098,0.12423
56,3639.24239,0.12713
57,3637.31381,0.12975
58,3635.38522,0.13285
59,3633.45663,0.13565
60,3631.52805,0.13907
61,3629.59946,0.1418
62,3627.67088,0.14125
63,3625.74229,0.1424
64,3623.8137,0.14456
65,3621.88512,0.14565
66,3619.95653,0.14557
67,3618.02794,0.14307
68,3616.09936,0.14134
69,3614.17077,0.14039
70,3612.24218,0.13891
71,3610.3136,0.13766
72,3608.38501,0.13597
73,3606.45643,0.13442
74,3604.52784,0.13369
75,3602.59925,0.13314
76,3600.67067,0.13214
77,3598.74208,0.13122
78,3596.81349,0.13062
79,3594.88491,0.12997
80,3592.95632,0.12923
81,3591.02774,0.12905
82,3589.09915,0.12911
83,3587.17056,0.12828
84,3585.24198,0.12784
85,3583.31339,0.12823
86,3581.3848,0.12851
87,3579.45622,0.12888
88,3577.52763,0.12916
89,3575.59904,0.12959
90,3573.67046,0.1303
