,wavenumber,absorbance
0,3747.24323,0.0019
1,3745.31464,0.00584
2,3743.38605,0.00071
3,3741.45747,0.0
4,3739.52888,0.00498
5,3737.6003,0.0072
6,3735.67171,0.00655
7,3733.74312,0.00566
8,3731.81454,0.00596
9,3729.88595,0.00654
10,3727.95736,0.00904
11,3726.02878,0.01051
12,3724.10019,0.01079
13,3722.17161,0.01283
14,3720.24302,0.014
15,3718.31443,0.01684
16,3716.38585,0.01987
17,3714.45726,0.0238
18,3712.52867,0.02821
19,3710.60009,0.02891
20,3708.6715,0.03194
21,3706.74291,0.03625
22,3704.81433,0.04178
23,3702.88574,0.04685
24,3700.95716,0.04858
25,3699.02857,0.05085
26,3697.09998,0.05222
27,3695.1714,0.05351
28,3693.24281,0.05445
29,3691.31422,0.05583
30,3689.38564,0.05605
31,3687.45705,0.05404
32,3685.52846,0.05655
33,3683.59988,0.06099
34,3681.67129,0.06548
35,3679.74271,0.06948
36,3677.81412,0.07552
37,3675.88553,0.08032
38,3673.95695,0.08126
39,3672.02836,0.08875
40,3670.09977,0.09486
41,3668.17119,0.0976
42,3666.2426,0.10398
43,3664.31402,0.11038
44,3662.38543,0.11667
45,3660.45684,0.122
46,3658.52826,0.12784
47,3656.59967,0.13226
48,3654.67108,0.13444
49,3652.7425,0.14071
50,3650.81391,0.14594
51,3648.88532,0.14645
52,3646.95674,0.14762
53,3645.02815,0.15212
54,3643.09957,0.15751
55,3641.17098,0.16112
56,3639.24239,0.16407
57,3637.31381,0.16747
58,3635.38522,0.17165
59,3633.45663,0.17504
60,3631.52805,0.17952
61,3629.59946,0.18314
62,3627.67088,0.1809
63,3625.74229,0.18236
64,3623.8137,0.18571
65,3621.88512,0.18717
66,3619.95653,0.18695
67,3618.02794,0.18258
68,3616.09936,0.18035
69,3614.17077,0.17957
70,3612.24218,0.17728
71,3610.3136,0.17585
72,3608.38501,0.17353
73,3606.45643,0.17075
74,3604.52784,0.16978
75,3602.59925,0.16924
76,3600.67067,0.16801
77,3598.74208,0.16694
78,3596.81349,0.16598
79,3594.88491,0.16462
80,3592.95632,0.16297
81,3591.02774,0.16281
82,3589.09915,0.16337
83,3587.17056,0.16153
84,3585.24198,0.16015
85,3583.31339,0.16085
86,3581.3848,0.16145
87,3579.45622,0.16176
88,3577.52763,0.16191
89,3575.59904,0.16216
90,3573.67046,0.1628
91,3571.74187,0.16394
92,3569.81329,0.16544
93,3567.8847,0.16577
94,3565.95611,0.16486
95,3564.02753,0.16554
96,3562.09894,0.16712
97,3560.17035,0.16791
98,3558.24177,0.16881
99,3556.31318,0.16994
100,3554.38459,0.17107
101,3552.45601,0.17169
102,3550.52742,0.17223
103,3548.59884,0.17377
104,3546.67025,0.1749
105,3544.74166,0.17535
106,3542.81308,0.17626
107,3540.88449,0.17754
108,3538.9559,0.17869
109,3537.02732,0.17933
110,3535.09873,0.1801
111,3533.17015,0.18132
112,3531.24156,0.18263
113,3529.31297,0.18371
114,3527.38439,0.18434
115,3525.4558,0.18498
116,3523.52721,0.18581
117,3521.59863,0.18664
118,3519.67004,0.18782
119,3517.74145,0.18913
120,3515.81287,0.18996
121,3513.88428,0.19077
122,3511.9557,0.19182
123,3510.02711,0.19287
124,3508.09852,0.19381
125,3506.16994,0.19482
126,3504.24135,0.1958
127,3502.31276,0.19624
128,3500.38418,0.19709
129,3498.45559,0.19863
130,3496.52701,0.19988
131,3494.59842,0.20059
132,3492.66983,0.20108
133,3490.74125,0.20186
134,3488.81266,0.20283
135,3486.88407,0.20387
136,3484.95549,0.20485
137,3483.0269,0.20561
138,3481.09831,0.20635
139,3479.16973,0.20733
140,3477.24114,0.20849
141,3475.31256,0.20916
142,3473.38397,0.2096
143,3471.45538,0.21032
144,3469.5268,0.21124
145,3467.59821,0.21217
146,3465.66962,0.21276
147,3463.74104,0.21344
148,3461.81245,0.21415
149,3459.88386,0.2147
150,3457.95528,0.21547
151,3456.02669,0.21633
152,3454.09811,0.21705
153,3452.16952,0.21766
154,3450.24093,0.21855
155,3448.31235,0.21936
156,3446.38376,0.21964
157,3444.45517,0.22011
158,3442.52659,0.22089
159,3440.598,0.22148
160,3438.66942,0.22204
161,3436.74083,0.2226
162,3434.81224,0.22308
163,3432.88366,0.22365
164,3430.95507,0.22396
165,3429.02648,0.22418
166,3427.0979,0.22463
167,3425.16931,0.22529
168,3423.24072,0.22611
169,3421.31214,0.2266
170,3419.38355,0.22679
171,3417.45497,0.22717
172,3415.52638,0.2276
173,3413.59779,0.22786
174,3411.66921,0.22838
175,3409.74062,0.22904
176,3407.81203,0.22928
177,3405.88345,0.2293
178,3403.95486,0.22931
179,3402.02628,0.2294
180,3400.09769,0.22955
181,3398.1691,0.22988
182,3396.24052,0.23026
183,3394.31193,0.23057
184,3392.38334,0.2309
185,3390.45476,0.23095
186,3388.52617,0.23113
187,3386.59758,0.23153
188,3384.669,0.23168
189,3382.74041,0.23171
190,3380.81183,0.23178
191,3378.88324,0.23203
192,3376.95465,0.23226
193,3375.02607,0.23225
194,3373.09748,0.23218
195,3371.16889,0.23232
196,3369.24031,0.23257
197,3367.31172,0.23272
198,3365.38314,0.23293
199,3363.45455,0.23324
200,3361.52596,0.2334
201,3359.59738,0.2333
202,3357.66879,0.23344
203,3355.7402,0.2337
204,3353.81162,0.23365
205,3351.88303,0.23349
206,3349.95444,0.23335
207,3348.02586,0.2334
208,3346.09727,0.23351
209,3344.16869,0.23377
210,3342.2401,0.23387
211,3340.31151,0.23378
212,3338.38293,0.23389
213,3336.45434,0.23375
214,3334.52575,0.23377
215,3332.59717,0.23398
216,3330.66858,0.23397
217,3328.73999,0.23405
218,3326.81141,0.23417
219,3324.88282,0.23428
220,3322.95424,0.23401
221,3321.02565,0.23352
222,3319.09706,0.2334
223,3317.16848,0.23353
224,3315.23989,0.23363
225,3313.3113,0.23357
226,3311.38272,0.23345
227,3309.45413,0.23321
228,3307.52555,0.23314
229,3305.59696,0.23315
230,3303.66837,0.23292
231,3301.73979,0.23284
232,3299.8112,0.23269
233,3297.88261,0.23236
234,3295.95403,0.23224
235,3294.02544,0.23196
236,3292.09685,0.23119
237,3290.16827,0.23083
238,3288.23968,0.23094
239,3286.3111,0.23052
240,3284.38251,0.22996
241,3282.45392,0.22939
242,3280.52534,0.22885
243,3278.59675,0.22853
244,3276.66816,0.22788
245,3274.73958,0.22695
246,3272.81099,0.2259
247,3270.88241,0.22512
248,3268.95382,0.22465
249,3267.02523,0.22372
250,3265.09665,0.22262
251,3263.16806,0.22156
252,3261.23947,0.22056
253,3259.31089,0.21984
254,3257.3823,0.21888
255,3255.45371,0.21768
256,3253.52513,0.21658
257,3251.59654,0.21561
258,3249.66796,0.21467
259,3247.73937,0.2138
260,3245.81078,0.21297
261,3243.8822,0.21198
262,3241.95361,0.21115
263,3240.02502,0.21025
264,3238.09644,0.2091
265,3236.16785,0.20817
266,3234.23927,0.20736
267,3232.31068,0.20672
268,3230.38209,0.20608
269,3228.45351,0.20506
270,3226.52492,0.20398
271,3224.59633,0.20311
272,3222.66775,0.20242
273,3220.73916,0.20169
274,3218.81057,0.20078
275,3216.88199,0.20003
276,3214.9534,0.19934
277,3213.02482,0.19862
278,3211.09623,0.19802
279,3209.16764,0.19718
280,3207.23906,0.1962
281,3205.31047,0.19543
282,3203.38188,0.19452
283,3201.4533,0.19351
284,3199.52471,0.19257
285,3197.59612,0.19147
286,3195.66754,0.19044
287,3193.73895,0.18988
288,3191.81037,0.18932
289,3189.88178,0.18839
290,3187.95319,0.1874
291,3186.02461,0.18663
292,3184.09602,0.18583
293,3182.16743,0.18483
294,3180.23885,0.18379
295,3178.31026,0.18268
296,3176.38168,0.18166
297,3174.45309,0.18091
298,3172.5245,0.18023
299,3170.59592,0.17943
300,3168.66733,0.17854
301,3166.73874,0.1777
302,3164.81016,0.1768
303,3162.88157,0.17585
304,3160.95298,0.17486
305,3159.0244,0.17382
306,3157.09581,0.17292
307,3155.16723,0.1722
308,3153.23864,0.17171
309,3151.31005,0.17119
310,3149.38147,0.17057
311,3147.45288,0.16967
312,3145.52429,0.16838
313,3143.59571,0.1675
314,3141.66712,0.16691
315,3139.73854,0.16636
316,3137.80995,0.1659
317,3135.88136,0.16544
318,3133.95278,0.16496
319,3132.02419,0.16414
320,3130.0956,0.16346
321,3128.16702,0.16308
322,3126.23843,0.16262
323,3124.30984,0.16199
324,3122.38126,0.16111
325,3120.45267,0.16054
326,3118.52409,0.16023
327,3116.5955,0.15989
328,3114.66691,0.15946
329,3112.73833,0.15896
330,3110.80974,0.1588
331,3108.88115,0.15863
332,3106.95257,0.15817
333,3105.02398,0.15763
334,3103.0954,0.15718
335,3101.16681,0.15673
336,3099.23822,0.15626
337,3097.30964,0.15597
338,3095.38105,0.15559
339,3093.45246,0.15529
340,3091.52388,0.1551
341,3089.59529,0.15465
342,3087.6667,0.15427
343,3085.73812,0.15394
344,3083.80953,0.15364
345,3081.88095,0.15338
346,3079.95236,0.15292
347,3078.02377,0.15245
348,3076.09519,0.15195
349,3074.1666,0.15151
350,3072.23801,0.151
351,3070.30943,0.15041
352,3068.38084,0.15002
353,3066.45225,0.14947
354,3064.52367,0.1487
355,3062.59508,0.14813
356,3060.6665,0.14759
357,3058.73791,0.14685
358,3056.80932,0.14602
359,3054.88074,0.14523
360,3052.95215,0.14468
361,3051.02356,0.14411
362,3049.09498,0.14344
363,3047.16639,0.14278
364,3045.23781,0.14205
365,3043.30922,0.14135
366,3041.38063,0.14065
367,3039.45205,0.14014
368,3037.52346,0.13969
369,3035.59487,0.13913
370,3033.66629,0.13879
371,3031.7377,0.13838
372,3029.80911,0.1379
373,3027.88053,0.13752
374,3025.95194,0.13704
375,3024.02336,0.13663
376,3022.09477,0.13625
377,3020.16618,0.13587
378,3018.2376,0.13547
379,3016.30901,0.1354
380,3014.38042,0.13569
381,3012.45184,0.13565
382,3010.52325,0.13538
383,3008.59467,0.13548
384,3006.66608,0.13605
385,3004.73749,0.13656
386,3002.80891,0.13694
387,3000.88032,0.13744
388,2998.95173,0.1381
389,2997.02315,0.13901
390,2995.09456,0.13993
391,2993.16597,0.1409
392,2991.23739,0.14202
393,2989.3088,0.14334
394,2987.38022,0.1448
395,2985.45163,0.14634
396,2983.52304,0.14819
397,2981.59446,0.15021
398,2979.66587,0.15213
399,2977.73728,0.15403
400,2975.8087,0.15617
401,2973.88011,0.15834
402,2971.95153,0.16042
403,2970.02294,0.16265
404,2968.09435,0.16486
405,2966.16577,0.16715
406,2964.23718,0.16958
407,2962.30859,0.17196
408,2960.38001,0.17418
409,2958.45142,0.17624
410,2956.52283,0.17832
411,2954.59425,0.1804
412,2952.66566,0.18266
