,wavenumber,absorbance
0,3747.24323,0.00036
1,3745.31464,0.00184
2,3743.38605,0.0
3,3741.45747,9e-05
4,3739.52888,0.00219
5,3737.6003,0.00308
6,3735.67171,0.00303
7,3733.74312,0.00276
8,3731.81454,0.00296
9,3729.88595,0.00339
10,3727.95736,0.0046
11,3726.02878,0.00531
12,3724.10019,0.00577
13,3722.17161,0.00704
14,3720.24302,0.00804
15,3718.31443,0.00973
16,3716.38585,0.01154
17,3714.45726,0.01404
18,3712.52867,0.0165
19,3710.60009,0.0179
20,3708.6715,0.02049
21,3706.74291,0.02314
22,3704.81433,0.02661
23,3702.88574,0.02986
24,3700.95716,0.03164
25,3699.02857,0.03374
26,3697.09998,0.03518
27,3695.1714,0.03624
28,3693.24281,0.03695
29,3691.31422,0.03815
30,3689.38564,0.03916
31,3687.45705,0.03923
32,3685.52846,0.04113
33,3683.59988,0.04398
34,3681.67129,0.04689
35,3679.74271,0.04982
36,3677.81412,0.05373
37,3675.88553,0.05704
38,3673.95695,0.05929
39,3672.02836,0.06404
40,3670.09977,0.06781
41,3668.17119,0.07035
42,3666.2426,0.07444
43,3664.31402,0.07836
44,3662.38543,0.08216
45,3660.45684,0.08577
46,3658.52826,0.08983
47,3656.59967,0.0932
48,3654.67108,0.09538
49,3652.7425,0.09893
50,3650.81391,0.10227
51,3648.88532,0.10407
52,3646.95674,0.10586
53,3645.02815,0.10862
54,3643.09957,0.11156
55,3641.17098,0.1139
56,3639.24239,0.11629
57,3637.31381,0.11895
58,3635.38522,0.12171
59,3633.45663,0.12407
60,3631.52805,0.127
61,3629.59946,0.12928
62,3627.67088,0.12939
63,3625.74229,0.13082
64,3623.8137,0.13275
65,3621.88512,0.13385
66,3619.95653,0.13413
67,3618.02794,0.13295
68,3616.09936,0.13237
69,3614.17077,0.1321
70,3612.24218,0.13144
71,3610.3136,0.13114
72,3608.38501,0.13058
73,3606.45643,0.12987
74,3604.52784,0.12974
75,3602.59925,0.12983
76,3600.67067,0.12964
77,3598.74208,0.12953
78,3596.81349,0.12966
79,3594.88491,0.12967
80,3592.95632,0.12951
81,3591.02774,0.12996
82,3589.09915,0.13084
83,3587.17056,0.13081
84,3585.24198,0.13083
85,3583.31339,0.13172
86,3581.3848,0.13263
87,3579.45622,0.13338
88,3577.52763,0.13418
89,3575.59904,0.13512
90,3573.67046,0.13593
91,3571.74187,0.13676
92,3569.81329,0.13814
93,3567.8847,0.13934
94,3565.95611,0.13995
95,3564.02753,0.1409
96,3562.09894,0.14228
97,3560.17035,0.14345
98,3558.24177,0.1445
99,3556.31318,0.14565
100,3554.38459,0.14683
101,3552.45601,0.14784
102,3550.52742,0.14896
103,3548.59884,0.15051
104,3546.67025,0.15168
105,3544.74166,0.15241
106,3542.81308,0.15336
107,3540.88449,0.15449
108,3538.9559,0.15572
109,3537.02732,0.15701
110,3535.09873,0.15822
111,3533.17015,0.15927
112,3531.24156,0.16034
113,3529.31297,0.16143
114,3527.38439,0.16248
115,3525.4558,0.16357
116,3523.52721,0.16457
117,3521.59863,0.16549
118,3519.67004,0.16641
119,3517.74145,0.16756
120,3515.81287,0.16879
121,3513.88428,0.16988
122,3511.9557,0.17115
123,3510.02711,0.17227
124,3508.09852,0.17302
125,3506.16994,0.17394
126,3504.24135,0.17508
127,3502.31276,0.17621
128,3500.38418,0.17729
129,3498.45559,0.1782
130,3496.52701,0.17911
131,3494.59842,0.18016
132,3492.66983,0.181
133,3490.74125,0.18176
134,3488.81266,0.18253
135,3486.88407,0.18327
136,3484.95549,0.18429
137,3483.0269,0.18553
138,3481.09831,0.18658
139,3479.16973,0.18729
140,3477.24114,0.18804
141,3475.31256,0.18892
142,3473.38397,0.18972
143,3471.45538,0.19053
144,3469.5268,0.19132
145,3467.59821,0.19194
146,3465.66962,0.19256
147,3463.74104,0.19338
148,3461.81245,0.19397
149,3459.88386,0.19453
150,3457.95528,0.19536
151,3456.02669,0.19608
152,3454.09811,0.19685
153,3452.16952,0.19755
154,3450.24093,0.19817
155,3448.31235,0.19895
156,3446.38376,0.19961
157,3444.45517,0.20032
158,3442.52659,0.20095
159,3440.598,0.20145
160,3438.66942,0.20218
161,3436.74083,0.20276
162,3434.81224,0.20321
163,3432.88366,0.20386
164,3430.95507,0.20441
165,3429.02648,0.20483
166,3427.0979,0.20525
167,3425.16931,0.20571
168,3423.24072,0.20614
169,3421.31214,0.20659
170,3419.38355,0.2073
171,3417.45497,0.20801
172,3415.52638,0.20847
173,3413.59779,0.20862
174,3411.66921,0.20887
175,3409.74062,0.20943
176,3407.81203,0.20977
177,3405.88345,0.21004
178,3403.95486,0.21037
179,3402.02628,0.21064
180,3400.09769,0.21096
181,3398.1691,0.21119
182,3396.24052,0.21146
183,3394.31193,0.21173
184,3392.38334,0.2117
185,3390.45476,0.2118
186,3388.52617,0.21236
187,3386.59758,0.21264
188,3384.669,0.21255
189,3382.74041,0.21274
190,3380.81183,0.21314
191,3378.88324,0.21352
192,3376.95465,0.21373
193,3375.02607,0.21368
194,3373.09748,0.21368
195,3371.16889,0.21398
196,3369.24031,0.21432
197,3367.31172,0.21458
198,3365.38314,0.21475
199,3363.45455,0.21471
200,3361.52596,0.21485
201,3359.59738,0.21508
202,3357.66879,0.21506
203,3355.7402,0.21505
204,3353.81162,0.21509
205,3351.88303,0.21514
206,3349.95444,0.21532
207,3348.02586,0.21545
208,3346.09727,0.21546
209,3344.16869,0.21547
210,3342.2401,0.21547
211,3340.31151,0.21552
212,3338.38293,0.21558
213,3336.45434,0.21551
214,3334.52575,0.21539
215,3332.59717,0.21522
216,3330.66858,0.21519
217,3328.73999,0.21517
218,3326.81141,0.21492
219,3324.88282,0.21477
220,3322.95424,0.21475
221,3321.02565,0.21481
222,3319.09706,0.21487
223,3317.16848,0.21473
224,3315.23989,0.21457
225,3313.3113,0.21436
226,3311.38272,0.21433
227,3309.45413,0.21441
228,3307.52555,0.21424
229,3305.59696,0.21403
230,3303.66837,0.21381
231,3301.73979,0.21358
232,3299.8112,0.21331
233,3297.88261,0.21289
234,3295.95403,0.21265
235,3294.02544,0.21249
236,3292.09685,0.21218
237,3290.16827,0.21176
238,3288.23968,0.21141
239,3286.3111,0.21117
240,3284.38251,0.2107
241,3282.45392,0.21012
242,3280.52534,0.20973
243,3278.59675,0.20938
244,3276.66816,0.20889
245,3274.73958,0.20812
246,3272.81099,0.20732
247,3270.88241,0.2067
248,3268.95382,0.20601
249,3267.02523,0.20523
250,3265.09665,0.20447
251,3263.16806,0.20356
252,3261.23947,0.20261
253,3259.31089,0.20176
254,3257.3823,0.20099
255,3255.45371,0.20027
256,3253.52513,0.19938
257,3251.59654,0.19841
258,3249.66796,0.19741
259,3247.73937,0.19652
260,3245.81078,0.19595
261,3243.8822,0.19525
262,3241.95361,0.19446
263,3240.02502,0.1937
264,3238.09644,0.19287
265,3236.16785,0.19195
266,3234.23927,0.19099
267,3232.31068,0.19025
268,3230.38209,0.18972
269,3228.45351,0.18908
270,3226.52492,0.1883
271,3224.59633,0.18749
272,3222.66775,0.18672
273,3220.73916,0.18604
274,3218.81057,0.1853
275,3216.88199,0.18443
276,3214.9534,0.18367
277,3213.02482,0.18302
278,3211.09623,0.18233
279,3209.16764,0.18143
280,3207.23906,0.18056
281,3205.31047,0.17986
282,3203.38188,0.17901
283,3201.4533,0.17829
284,3199.52471,0.17764
285,3197.59612,0.17673
286,3195.66754,0.17568
287,3193.73895,0.17473
288,3191.81037,0.17416
289,3189.88178,0.17364
290,3187.95319,0.17275
291,3186.02461,0.17167
292,3184.09602,0.17071
293,3182.16743,0.16991
294,3180.23885,0.16911
295,3178.31026,0.16833
296,3176.38168,0.16761
297,3174.45309,0.16683
298,3172.5245,0.16588
299,3170.59592,0.16484
300,3168.66733,0.1638
301,3166.73874,0.16291
302,3164.81016,0.16215
303,3162.88157,0.16122
304,3160.95298,0.16029
305,3159.0244,0.15955
306,3157.09581,0.15891
307,3155.16723,0.15829
308,3153.23864,0.15753
309,3151.31005,0.15663
310,3149.38147,0.15566
311,3147.45288,0.15487
312,3145.52429,0.15423
313,3143.59571,0.15354
314,3141.66712,0.15293
315,3139.73854,0.15231
316,3137.80995,0.15152
317,3135.88136,0.1507
318,3133.95278,0.15007
319,3132.02419,0.14957
320,3130.0956,0.14899
321,3128.16702,0.14838
322,3126.23843,0.14784
323,3124.30984,0.14732
324,3122.38126,0.1468
325,3120.45267,0.14629
326,3118.52409,0.14577
327,3116.5955,0.1453
328,3114.66691,0.14482
329,3112.73833,0.14429
330,3110.80974,0.14377
331,3108.88115,0.14327
332,3106.95257,0.14284
333,3105.02398,0.14241
334,3103.0954,0.14186
335,3101.16681,0.14133
336,3099.23822,0.14097
337,3097.30964,0.14063
338,3095.38105,0.1401
339,3093.45246,0.13962
340,3091.52388,0.13921
341,3089.59529,0.13862
342,3087.6667,0.13804
343,3085.73812,0.13759
344,3083.80953,0.13711
345,3081.88095,0.13657
346,3079.95236,0.13597
347,3078.02377,0.13552
348,3076.09519,0.13509
349,3074.1666,0.13457
350,3072.23801,0.13415
351,3070.30943,0.13364
352,3068.38084,0.13297
353,3066.45225,0.13231
354,3064.52367,0.13163
355,3062.59508,0.13093
356,3060.6665,0.13029
357,3058.73791,0.1296
358,3056.80932,0.12882
359,3054.88074,0.1281
360,3052.95215,0.12749
361,3051.02356,0.12689
362,3049.09498,0.12617
363,3047.16639,0.12542
364,3045.23781,0.12476
365,3043.30922,0.12421
366,3041.38063,0.12364
367,3039.45205,0.12311
368,3037.52346,0.12272
369,3035.59487,0.1222
370,3033.66629,0.12165
371,3031.7377,0.1212
372,3029.80911,0.12059
373,3027.88053,0.12012
374,3025.95194,0.11977
375,3024.02336,0.11937
376,3022.09477,0.11904
377,3020.16618,0.11871
378,3018.2376,0.11841
379,3016.30901,0.11823
380,3014.38042,0.11817
381,3012.45184,0.11815
382,3010.52325,0.11819
383,3008.59467,0.11835
384,3006.66608,0.11851
385,3004.73749,0.11871
386,3002.80891,0.11911
387,3000.88032,0.11962
388,2998.95173,0.12005
389,2997.02315,0.1206
390,2995.09456,0.12135
391,2993.16597,0.12226
392,2991.23739,0.12333
393,2989.3088,0.12424
394,2987.38022,0.12528
395,2985.45163,0.12677
396,2983.52304,0.12844
397,2981.59446,0.1302
398,2979.66587,0.13209
399,2977.73728,0.13409
400,2975.8087,0.13611
401,2973.88011,0.1382
402,2971.95153,0.14044
403,2970.02294,0.14281
404,2968.09435,0.14537
405,2966.16577,0.14791
406,2964.23718,0.15029
407,2962.30859,0.15259
408,2960.38001,0.15488
409,2958.45142,0.15703
410,2956.52283,0.15886
411,2954.59425,0.16047
412,2952.66566,0.16204
413,2950.73708,0.16387
414,2948.80849,0.16614
415,2946.8799,0.16892
416,2944.95132,0.17234
417,2943.02273,0.17633
418,2941.09414,0.18069
419,2939.16556,0.18545
420,2937.23697,0.19065
421,2935.30838,0.19592
422,2933.3798,0.20089
423,2931.45121,0.20557
424,2929.52263,0.20997
425,2927.59404,0.21389
426,2925.66545,0.21684
427,2923.73687,0.21845
428,2921.80828,0.21854
429,2919.87969,0.21683
430,2917.95111,0.21261
431,2916.02252,0.2053
432,2914.09394,0.1959
433,2912.16535,0.18668
434,2910.23676,0.17917
435,2908.30818,0.17337
436,2906.37959,0.16877
437,2904.451,0.16488
438,2902.52242,0.16147
439,2900.59383,0.15831
440,2898.66524,0.15525
441,2896.73666,0.1525
442,2894.80807,0.14987
443,2892.87949,0.14719
444,2890.9509,0.14452
445,2889.02231,0.14206
446,2887.09373,0.13995
447,2885.16514,0.13797
