,wavenumber,absorbance
0,3747.24323,0.00226
1,3745.31464,0.00562
2,3743.38605,0.00031
3,3741.45747,0.0
4,3739.52888,0.00474
5,3737.6003,0.00616
6,3735.67171,0.00518
7,3733.74312,0.00431
8,3731.81454,0.00413
9,3729.88595,0.00415
10,3727.95736,0.0065
11,3726.02878,0.00763
12,3724.10019,0.00758
13,3722.17161,0.00907
14,3720.24302,0.00944
15,3718.31443,0.01137
16,3716.38585,0.01352
17,3714.45726,0.01667
18,3712.52867,0.01933
19,3710.60009,0.01883
20,3708.6715,0.02129
21,3706.74291,0.02436
22,3704.81433,0.02839
23,3702.88574,0.03196
24,3700.95716,0.03303
25,3699.02857,0.03513
26,3697.09998,0.03637
27,3695.1714,0.03749
28,3693.24281,0.03833
29,3691.31422,0.03997
30,3689.38564,0.04045
31,3687.45705,0.03845
32,3685.52846,0.04031
33,3683.59988,0.04406
34,3681.67129,0.04756
35,3679.74271,0.05059
36,3677.81412,0.05578
37,3675.88553,0.05886
38,3673.95695,0.05882
39,3672.02836,0.06549
40,3670.09977,0.06954
41,3668.17119,0.07052
42,3666.2426,0.07589
43,3664.31402,0.08071
44,3662.38543,0.08516
45,3660.45684,0.08906
46,3658.52826,0.09369
47,3656.59967,0.09696
48,3654.67108,0.09823
49,3652.7425,0.10344
50,3650.81391,0.10803
51,3648.88532,0.10837
52,3646.95674,0.1087
53,3645.02815,0.11235
54,3643.09957,0.11665
55,3641.17098,0.11945
56,3639.24239,0.12225
57,3637.31381,0.12477
58,3635.38522,0.12767
59,3633.45663,0.13026
60,3631.52805,0.13449
61,3629.59946,0.13735
62,3627.67088,0.13482
63,3625.74229,0.13619
64,3623.8137,0.1393
65,3621.88512,0.141
66,3619.95653,0.14149
67,3618.02794,0.13863
68,3616.09936,0.13773
69,3614.17077,0.13784
70,3612.24218,0.13693
71,3610.3136,0.13657
72,3608.38501,0.13515
73,3606.45643,0.13361
74,3604.52784,0.13349
75,3602.59925,0.13392
76,3600.67067,0.13357
77,3598.74208,0.13318
78,3596.81349,0.13337
79,3594.88491,0.13313
80,3592.95632,0.13245
81,3591.02774,0.13304
82,3589.09915,0.13412
83,3587.17056,0.13293
84,3585.24198,0.13223
85,3583.31339,0.13365
86,3581.3848,0.13461
87,3579.45622,0.13505
88,3577.52763,0.13559
89,3575.59904,0.13645
90,3573.67046,0.13741
91,3571.74187,0.13865
92,3569.81329,0.14054
93,3567.8847,0.14124
94,3565.95611,0.14057
95,3564.02753,0.14112
96,3562.09894,0.14266
97,3560.17035,0.14386
98,3558.24177,0.14507
99,3556.31318,0.14636
100,3554.38459,0.14762
101,3552.45601,0.14838
102,3550.52742,0.14909
103,3548.59884,0.15062
104,3546.67025,0.15158
105,3544.74166,0.15207
106,3542.81308,0.1532
107,3540.88449,0.15455
108,3538.9559,0.15584
109,3537.02732,0.15685
110,3535.09873,0.15791
111,3533.17015,0.15911
112,3531.24156,0.16025
113,3529.31297,0.16109
114,3527.38439,0.1618
115,3525.4558,0.16296
116,3523.52721,0.16396
117,3521.59863,0.16476
118,3519.67004,0.16587
119,3517.74145,0.16699
120,3515.81287,0.16807
121,3513.88428,0.16897
122,3511.9557,0.16987
123,3510.02711,0.17095
124,3508.09852,0.17182
125,3506.16994,0.173
126,3504.24135,0.17418
127,3502.31276,0.17462
128,3500.38418,0.1754
129,3498.45559,0.17663
130,3496.52701,0.17764
131,3494.59842,0.17851
132,3492.66983,0.17942
133,3490.74125,0.18039
134,3488.81266,0.18098
135,3486.88407,0.18172
136,3484.95549,0.18294
137,3483.0269,0.18393
138,3481.09831,0.18454
139,3479.16973,0.18521
140,3477.24114,0.1862
141,3475.31256,0.18707
142,3473.38397,0.18791
143,3471.45538,0.18871
144,3469.5268,0.18941
145,3467.59821,0.19006
146,3465.66962,0.19055
147,3463.74104,0.19148
148,3461.81245,0.1923
149,3459.88386,0.19276
150,3457.95528,0.19344
151,3456.02669,0.19412
152,3454.09811,0.19479
153,3452.16952,0.19527
154,3450.24093,0.19604
155,3448.31235,0.19695
156,3446.38376,0.19747
157,3444.45517,0.1981
158,3442.52659,0.19863
159,3440.598,0.19903
160,3438.66942,0.19956
161,3436.74083,0.20012
162,3434.81224,0.20071
163,3432.88366,0.20138
164,3430.95507,0.20192
165,3429.02648,0.20226
166,3427.0979,0.20275
167,3425.16931,0.20341
168,3423.24072,0.20384
169,3421.31214,0.20396
170,3419.38355,0.20425
171,3417.45497,0.2047
172,3415.52638,0.2052
173,3413.59779,0.20575
174,3411.66921,0.20611
175,3409.74062,0.20649
176,3407.81203,0.20689
177,3405.88345,0.20718
178,3403.95486,0.20738
179,3402.02628,0.20749
180,3400.09769,0.20775
181,3398.1691,0.20806
182,3396.24052,0.20835
183,3394.31193,0.20852
184,3392.38334,0.20853
185,3390.45476,0.20865
186,3388.52617,0.2088
187,3386.59758,0.20899
188,3384.669,0.20921
189,3382.74041,0.20947
190,3380.81183,0.2097
191,3378.88324,0.20974
192,3376.95465,0.20986
193,3375.02607,0.20996
194,3373.09748,0.21
195,3371.16889,0.21018
196,3369.24031,0.21025
197,3367.31172,0.21048
198,3365.38314,0.21078
199,3363.45455,0.21083
200,3361.52596,0.21078
201,3359.59738,0.21067
202,3357.66879,0.21083
203,3355.7402,0.2111
204,3353.81162,0.21116
205,3351.88303,0.21109
206,3349.95444,0.21098
207,3348.02586,0.21113
208,3346.09727,0.21126
209,3344.16869,0.21118
210,3342.2401,0.21112
211,3340.31151,0.21113
212,3338.38293,0.21123
213,3336.45434,0.21132
