,wavenumber,absorbance
0,3747.24323,0.00113
1,3745.31464,0.00442
2,3743.38605,0.0
3,3741.45747,0.00019
4,3739.52888,0.00486
5,3737.6003,0.00671
6,3735.67171,0.00608
7,3733.74312,0.0048
8,3731.81454,0.0049
9,3729.88595,0.00597
10,3727.95736,0.00884
11,3726.02878,0.01021
12,3724.10019,0.01017
13,3722.17161,0.01229
14,3720.24302,0.01371
15,3718.31443,0.01653
16,3716.38585,0.0198
17,3714.45726,0.02389
18,3712.52867,0.02762
19,3710.60009,0.02778
20,3708.6715,0.03128
21,3706.74291,0.03615
22,3704.81433,0.04155
23,3702.88574,0.04596
24,3700.95716,0.04752
25,3699.02857,0.05029
26,3697.09998,0.05184
27,3695.1714,0.0528
28,3693.24281,0.05339
29,3691.31422,0.05434
30,3689.38564,0.05441
31,3687.45705,0.05285
32,3685.52846,0.05548
33,3683.59988,0.05962
34,3681.67129,0.06394
35,3679.74271,0.06781
36,3677.81412,0.07331
37,3675.88553,0.07724
38,3673.95695,0.07818
39,3672.02836,0.08571
40,3670.09977,0.09143
41,3668.17119,0.0945
42,3666.2426,0.10136
43,3664.31402,0.10771
44,3662.38543,0.1134
45,3660.45684,0.11844
46,3658.52826,0.12409
47,3656.59967,0.12829
48,3654.67108,0.13062
49,3652.7425,0.13647
50,3650.81391,0.14125
51,3648.88532,0.14198
52,3646.95674,0.14358
53,3645.02815,0.14811
54,3643.09957,0.15293
55,3641.17098,0.15642
56,3639.24239,0.15971
57,3637.31381,0.16319
58,3635.38522,0.16711
59,3633.45663,0.1703
60,3631.52805,0.17448
61,3629.59946,0.1771
62,3627.67088,0.17458
63,3625.74229,0.17687
64,3623.8137,0.18054
65,3621.88512,0.18192
66,3619.95653,0.18121
67,3618.02794,0.17677
68,3616.09936,0.17514
69,3614.17077,0.17395
70,3612.24218,0.17084
71,3610.3136,0.16919
72,3608.38501,0.16681
73,3606.45643,0.16406
74,3604.52784,0.16333
75,3602.59925,0.16313
76,3600.67067,0.16152
77,3598.74208,0.15976
78,3596.81349,0.15861
79,3594.88491,0.15713
80,3592.95632,0.15559
81,3591.02774,0.15548
82,3589.09915,0.15562
83,3587.17056,0.1534
84,3585.24198,0.15205
85,3583.31339,0.15288
86,3581.3848,0.15342
87,3579.45622,0.15368
88,3577.52763,0.15385
89,3575.59904,0.15419
90,3573.67046,0.15467
91,3571.74187,0.15547
92,3569.81329,0.15673
93,3567.8847,0.15665
94,3565.95611,0.15563
95,3564.02753,0.15641
96,3562.09894,0.15806
97,3560.17035,0.15891
98,3558.24177,0.15942
99,3556.31318,0.16023
100,3554.38459,0.16116
101,3552.45601,0.16175
102,3550.52742,0.16239
103,3548.59884,0.16366
104,3546.67025,0.16443
105,3544.74166,0.16458
106,3542.81308,0.16519
107,3540.88449,0.16644
108,3538.9559,0.16807
109,3537.02732,0.16921
110,3535.09873,0.16972
111,3533.17015,0.17048
112,3531.24156,0.17148
113,3529.31297,0.17234
114,3527.38439,0.17305
115,3525.4558,0.1739
116,3523.52721,0.17458
117,3521.59863,0.17499
118,3519.67004,0.17624
119,3517.74145,0.17776
120,3515.81287,0.17862
121,3513.88428,0.17956
122,3511.9557,0.18039
123,3510.02711,0.18098
124,3508.09852,0.18173
125,3506.16994,0.18281
126,3504.24135,0.18391
127,3502.31276,0.18427
128,3500.38418,0.1848
129,3498.45559,0.18606
130,3496.52701,0.18711
131,3494.59842,0.18782
132,3492.66983,0.18858
133,3490.74125,0.18956
134,3488.81266,0.19054
135,3486.88407,0.19135
136,3484.95549,0.19195
137,3483.0269,0.19264
138,3481.09831,0.19347
139,3479.16973,0.19413
