,wavenumber,absorbance
,wavenumber,absorbance
0.0,3747.24323,0.00056
1.0,3745.31464,0.00255
2.0,3743.38605,0.0
3.0,3741.45747,4e-05
4.0,3739.52888,0.00287
5.0,3737.6003,0.00384
6.0,3735.67171,0.00341
7.0,3733.74312,0.00287
8.0,3731.81454,0.00299
9.0,3729.88595,0.00327
10.0,3727.95736,0.00481
11.0,3726.02878,0.00578
12.0,3724.10019,0.00595
13.0,3722.17161,0.00714
14.0,3720.24302,0.00792
15.0,3718.31443,0.0095
16.0,3716.38585,0.01128
17.0,3714.45726,0.01397
18.0,3712.52867,0.01661
19.0,3710.60009,0.01738
20.0,3708.6715,0.01969
21.0,3706.74291,0.02229
22.0,3704.81433,0.02552
23.0,3702.88574,0.02874
24.0,3700.95716,0.03058
25.0,3699.02857,0.0326
26.0,3697.09998,0.03365
27.0,3695.1714,0.03456
28.0,3693.24281,0.03533
29.0,3691.31422,0.03666
30.0,3689.38564,0.03759
31.0,3687.45705,0.03717
32.0,3685.52846,0.03888
33.0,3683.59988,0.04195
34.0,3681.67129,0.04505
35.0,3679.74271,0.04799
36.0,3677.81412,0.05243
37.0,3675.88553,0.05581
38.0,3673.95695,0.05732
39.0,3672.02836,0.0625
40.0,3670.09977,0.06648
41.0,3668.17119,0.06861
42.0,3666.2426,0.073
43.0,3664.31402,0.07755
44.0,3662.38543,0.0819
45.0,3660.45684,0.08562
46.0,3658.52826,0.08977
47.0,3656.59967,0.09324
48.0,3654.67108,0.0955
49.0,3652.7425,0.09974
50.0,3650.81391,0.10352
51.0,3648.88532,0.10503
52.0,3646.95674,0.10657
53.0,3645.02815,0.10974
54.0,3643.09957,0.11338
55.0,3641.17098,0.11628
56.0,3639.24239,0.11892
57.0,3637.31381,0.12149
58.0,3635.38522,0.12453
59.0,3633.45663,0.12722
60.0,3631.52805,0.13053
61.0,3629.59946,0.13322
62.0,3627.67088,0.13276
63.0,3625.74229,0.13425
64.0,3623.8137,0.13674
65.0,3621.88512,0.13826
66.0,3619.95653,0.13884
67.0,3618.02794,0.13718
68.0,3616.09936,0.13673
69.0,3614.17077,0.13694
70.0,3612.24218,0.13622
71.0,3610.3136,0.13587
72.0,3608.38501,0.1351
73.0,3606.45643,0.13455
74.0,3604.52784,0.13497
75.0,3602.59925,0.13554
76.0,3600.67067,0.13547
77.0,3598.74208,0.13537
78.0,3596.81349,0.13576
79.0,3594.88491,0.13578
80.0,3592.95632,0.13576
81.0,3591.02774,0.13662
82.0,3589.09915,0.13771
83.0,3587.17056,0.13762
84.0,3585.24198,0.13757
85.0,3583.31339,0.13875
86.0,3581.3848,0.13978
87.0,3579.45622,0.14063
88.0,3577.52763,0.14163
89.0,3575.59904,0.14264
90.0,3573.67046,0.14377
91.0,3571.74187,0.14501
92.0,3569.81329,0.14658
93.0,3567.8847,0.1476
94.0,3565.95611,0.14798
95.0,3564.02753,0.14924
96.0,3562.09894,0.15089
97.0,3560.17035,0.15209
98.0,3558.24177,0.15315
99.0,3556.31318,0.15436
100.0,3554.38459,0.15593
101.0,3552.45601,0.15728
102.0,3550.52742,0.15832
103.0,3548.59884,0.15973
104.0,3546.67025,0.1608
105.0,3544.74166,0.1615
106.0,3542.81308,0.16266
107.0,3540.88449,0.16408
108.0,3538.9559,0.16545
109.0,3537.02732,0.16659
110.0,3535.09873,0.16755
111.0,3533.17015,0.16865
112.0,3531.24156,0.16989
113.0,3529.31297,0.17106
114.0,3527.38439,0.17226
115.0,3525.4558,0.17349
116.0,3523.52721,0.17466
117.0,3521.59863,0.17576
118.0,3519.67004,0.17684
119.0,3517.74145,0.17795
120.0,3515.81287,0.17906
121.0,3513.88428,0.18028
122.0,3511.9557,0.18136
123.0,3510.02711,0.18226
124.0,3508.09852,0.18335
125.0,3506.16994,0.18458
126.0,3504.24135,0.1857
127.0,3502.31276,0.18636
128.0,3500.38418,0.18724
129.0,3498.45559,0.18851
130.0,3496.52701,0.18947
131.0,3494.59842,0.19046
132.0,3492.66983,0.19144
133.0,3490.74125,0.19235
134.0,3488.81266,0.19322
135.0,3486.88407,0.19393
136.0,3484.95549,0.19493
137.0,3483.0269,0.19618
138.0,3481.09831,0.1971
139.0,3479.16973,0.19782
140.0,3477.24114,0.1987
141.0,3475.31256,0.19941
142.0,3473.38397,0.20014
143.0,3471.45538,0.20099
144.0,3469.5268,0.20179
145.0,3467.59821,0.20256
146.0,3465.66962,0.20319
147.0,3463.74104,0.20413
148.0,3461.81245,0.20498
149.0,3459.88386,0.20553
150.0,3457.95528,0.20638
151.0,3456.02669,0.20713
152.0,3454.09811,0.20761
153.0,3452.16952,0.20814
154.0,3450.24093,0.2089
155.0,3448.31235,0.20957
156.0,3446.38376,0.21008
157.0,3444.45517,0.21066
158.0,3442.52659,0.2113
159.0,3440.598,0.21205
160.0,3438.66942,0.21266
161.0,3436.74083,0.21318
162.0,3434.81224,0.21368
163.0,3432.88366,0.21416
164.0,3430.95507,0.21455
165.0,3429.02648,0.21491
166.0,3427.0979,0.21535
167.0,3425.16931,0.21582
168.0,3423.24072,0.21651
169.0,3421.31214,0.21698
170.0,3419.38355,0.21726
171.0,3417.45497,0.21785
172.0,3415.52638,0.21841
173.0,3413.59779,0.21884
174.0,3411.66921,0.21914
175.0,3409.74062,0.2194
176.0,3407.81203,0.21976
177.0,3405.88345,0.22006
178.0,3403.95486,0.2202
179.0,3402.02628,0.22012
180.0,3400.09769,0.22025
181.0,3398.1691,0.2207
182.0,3396.24052,0.22102
183.0,3394.31193,0.22124
184.0,3392.38334,0.22144
185.0,3390.45476,0.22169
186.0,3388.52617,0.22204
187.0,3386.59758,0.22221
188.0,3384.669,0.22217
189.0,3382.74041,0.22216
190.0,3380.81183,0.22226
191.0,3378.88324,0.22244
192.0,3376.95465,0.22267
193.0,3375.02607,0.2228
194.0,3373.09748,0.22273
195.0,3371.16889,0.22271
196.0,3369.24031,0.2228
197.0,3367.31172,0.22294
198.0,3365.38314,0.22321
199.0,3363.45455,0.2233
200.0,3361.52596,0.22327
201.0,3359.59738,0.22338
202.0,3357.66879,0.22355
203.0,3355.7402,0.22365
