,wavenumber,absorbance
0,3996.31543,0.00047
1,3994.38671,0.00046
2,3992.45799,0.00039
3,3990.52926,0.00034
4,3988.60054,0.00027
5,3986.67182,0.00015
6,3984.74309,4e-05
7,3982.81437,0.0
8,3980.88564,0.00012
9,3978.95692,0.0004
10,3977.0282,0.00065
11,3975.09947,0.00071
12,3973.17075,0.00059
13,3971.24203,0.00046
14,3969.3133,0.00044
15,3967.38458,0.00057
16,3965.45586,0.00076
17,3963.52713,0.00094
18,3961.59841,0.00107
19,3959.66968,0.0011
20,3957.74096,0.00104
21,3955.81224,0.001
22,3953.88351,0.00108
23,3951.95479,0.00116
24,3950.02607,0.00105
25,3948.09734,0.00089
26,3946.16862,0.00097
27,3944.2399,0.00117
28,3942.31117,0.00113
29,3940.38245,0.001
30,3938.45372,0.00102
31,3936.525,0.00114
32,3934.59628,0.00122
33,3932.66755,0.00114
34,3930.73883,0.00096
35,3928.81011,0.00091
36,3926.88138,0.00107
37,3924.95266,0.00119
38,3923.02393,0.00108
39,3921.09521,0.00087
40,3919.16649,0.00071
41,3917.23776,0.00064
42,3915.30904,0.00071
43,3913.38032,0.00081
44,3911.45159,0.00085
45,3909.52287,0.00092
46,3907.59415,0.0012
47,3905.66542,0.00149
48,3903.7367,0.00138
49,3901.80797,0.0009
50,3899.87925,0.00051
51,3897.95053,0.0004
52,3896.0218,0.00059
53,3894.09308,0.00087
54,3892.16436,0.0009
55,3890.23563,0.00071
56,3888.30691,0.00058
57,3886.37819,0.00043
58,3884.44946,0.00028
59,3882.52074,0.00035
60,3880.59201,0.00044
61,3878.66329,0.00045
62,3876.73457,0.00069
63,3874.80584,0.00109
64,3872.87712,0.00126
65,3870.9484,0.00094
66,3869.01967,0.00032
67,3867.09095,0.0
68,3865.16222,1e-05
69,3863.2335,4e-05
70,3861.30478,2e-05
71,3859.37605,0.00022
72,3857.44733,0.00076
73,3855.51861,0.00144
74,3853.58988,0.00156
75,3851.66116,0.00068
76,3849.73244,-0.00012
77,3847.80371,-0.00034
78,3845.87499,-0.00016
79,3843.94626,0.00011
80,3842.01754,0.00034
81,3840.08882,0.00049
82,3838.16009,0.00037
83,3836.23137,2e-05
84,3834.30265,-0.00017
85,3832.37392,-0.00016
86,3830.4452,-8e-05
87,3828.51648,1e-05
88,3826.58775,9e-05
89,3824.65903,0.00027
90,3822.7303,0.00048
91,3820.80158,0.00047
92,3818.87286,0.00034
93,3816.94413,0.00025
94,3815.01541,5e-05
95,3813.08669,5e-05
96,3811.15796,0.00047
97,3809.22924,0.00106
98,3807.30052,0.00134
99,3805.37179,0.00134
100,3803.44307,0.00146
101,3801.51434,0.00168
102,3799.58562,0.00184
103,3797.6569,0.00195
104,3795.72817,0.00186
105,3793.79945,0.00173
106,3791.87073,0.00183
107,3789.942,0.00212
108,3788.01328,0.0025
109,3786.08455,0.00289
110,3784.15583,0.00321
111,3782.22711,0.00348
