,wavenumber,absorbance
0,3996.31543,0.0
1,3994.38671,0.0001
2,3992.45799,0.00022
3,3990.52926,0.00021
4,3988.60054,0.00025
5,3986.67182,0.00044
6,3984.74309,0.00063
7,3982.81437,0.00064
8,3980.88564,0.00056
9,3978.95692,0.00055
10,3977.0282,0.00057
11,3975.09947,0.00056
12,3973.17075,0.00063
13,3971.24203,0.00084
14,3969.3133,0.0011
15,3967.38458,0.00129
16,3965.45586,0.00136
17,3963.52713,0.00131
18,3961.59841,0.00131
19,3959.66968,0.00137
20,3957.74096,0.00134
21,3955.81224,0.00134
22,3953.88351,0.00147
23,3951.95479,0.00154
24,3950.02607,0.00143
25,3948.09734,0.00156
26,3946.16862,0.00192
27,3944.2399,0.00169
28,3942.31117,0.00108
29,3940.38245,0.00102
30,3938.45372,0.00147
31,3936.525,0.00206
32,3934.59628,0.00226
33,3932.66755,0.00184
34,3930.73883,0.00149
35,3928.81011,0.00176
36,3926.88138,0.00202
37,3924.95266,0.00192
38,3923.02393,0.00208
39,3921.09521,0.00226
40,3919.16649,0.00189
41,3917.23776,0.00131
42,3915.30904,0.00124
43,3913.38032,0.00155
44,3911.45159,0.002
45,3909.52287,0.0029
46,3907.59415,0.00379
47,3905.66542,0.00374
48,3903.7367,0.00293
49,3901.80797,0.00191
50,3899.87925,0.0009
51,3897.95053,0.00112
52,3896.0218,0.00245
53,3894.09308,0.00294
54,3892.16436,0.00218
55,3890.23563,0.00224
56,3888.30691,0.00299
57,3886.37819,0.00266
58,3884.44946,0.00247
59,3882.52074,0.00245
60,3880.59201,0.00187
61,3878.66329,0.00243
62,3876.73457,0.00351
63,3874.80584,0.0037
64,3872.87712,0.00342
65,3870.9484,0.00249
66,3869.01967,0.00226
67,3867.09095,0.00297
68,3865.16222,0.00246
69,3863.2335,0.00154
70,3861.30478,0.00201
71,3859.37605,0.00391
72,3857.44733,0.00583
73,3855.51861,0.00517
74,3853.58988,0.0016
75,3851.66116,0.0
76,3849.73244,0.00132
77,3847.80371,0.0031
78,3845.87499,0.00406
79,3843.94626,0.00445
