,wavenumber,absorbance
0,3996.31543,0.00017
1,3994.38671,4e-05
2,3992.45799,0.0
3,3990.52926,9e-05
4,3988.60054,0.00025
5,3986.67182,0.00029
6,3984.74309,0.00025
7,3982.81437,0.00031
8,3980.88564,0.00049
9,3978.95692,0.00066
10,3977.0282,0.0007
11,3975.09947,0.00066
12,3973.17075,0.00063
13,3971.24203,0.00061
14,3969.3133,0.00062
15,3967.38458,0.0007
16,3965.45586,0.0008
17,3963.52713,0.00077
18,3961.59841,0.00077
19,3959.66968,0.00096
20,3957.74096,0.00119
21,3955.81224,0.00134
22,3953.88351,0.00138
23,3951.95479,0.00125
24,3950.02607,0.0011
25,3948.09734,0.00133
26,3946.16862,0.00174
27,3944.2399,0.00164
28,3942.31117,0.00133
29,3940.38245,0.00145
30,3938.45372,0.00175
31,3936.525,0.00196
32,3934.59628,0.00191
33,3932.66755,0.00168
34,3930.73883,0.0017
35,3928.81011,0.00194
36,3926.88138,0.00181
37,3924.95266,0.00152
38,3923.02393,0.0017
39,3921.09521,0.00196
40,3919.16649,0.0018
41,3917.23776,0.00154
42,3915.30904,0.00159
43,3913.38032,0.00174
44,3911.45159,0.00188
45,3909.52287,0.00232
46,3907.59415,0.00273
47,3905.66542,0.00258
48,3903.7367,0.00231
49,3901.80797,0.0022
50,3899.87925,0.00201
51,3897.95053,0.00231
52,3896.0218,0.00281
53,3894.09308,0.00242
54,3892.16436,0.0016
55,3890.23563,0.00188
56,3888.30691,0.00239
57,3886.37819,0.00204
58,3884.44946,0.00223
59,3882.52074,0.00248
60,3880.59201,0.00215
61,3878.66329,0.00253
62,3876.73457,0.00284
63,3874.80584,0.00263
64,3872.87712,0.00271
65,3870.9484,0.00248
66,3869.01967,0.00263
67,3867.09095,0.00317
68,3865.16222,0.00272
69,3863.2335,0.00232
70,3861.30478,0.00283
71,3859.37605,0.00393
72,3857.44733,0.00465
73,3855.51861,0.00352
74,3853.58988,0.0014
75,3851.66116,0.00148
76,3849.73244,0.00276
77,3847.80371,0.00347
78,3845.87499,0.00351
79,3843.94626,0.00344
80,3842.01754,0.0035
81,3840.08882,0.00318
82,3838.16009,0.00291
83,3836.23137,0.0034
84,3834.30265,0.00377
85,3832.37392,0.00355
86,3830.4452,0.00358
87,3828.51648,0.00383
88,3826.58775,0.0044
89,3824.65903,0.00527
90,3822.7303,0.0049
91,3820.80158,0.0043
92,3818.87286,0.00464
93,3816.94413,0.00398
94,3815.01541,0.00364
95,3813.08669,0.00459
96,3811.15796,0.00523
97,3809.22924,0.00497
98,3807.30052,0.00484
99,3805.37179,0.00595
100,3803.44307,0.00623
101,3801.51434,0.00549
102,3799.58562,0.00589
103,3797.6569,0.00607
104,3795.72817,0.00585
105,3793.79945,0.00609
106,3791.87073,0.00632
107,3789.942,0.00658
108,3788.01328,0.00687
109,3786.08455,0.00698
110,3784.15583,0.00733
111,3782.22711,0.00776
112,3780.29838,0.00767
113,3778.36966,0.00789
114,3776.44094,0.00867
115,3774.51221,0.00932
116,3772.58349,0.00957
117,3770.65477,0.00968
118,3768.72604,0.01029
119,3766.79732,0.01085
120,3764.86859,0.01125
121,3762.93987,0.01177
122,3761.01115,0.01179
