,wavenumber,absorbance
0,3996.31543,0.0
1,3994.38671,0.00018
2,3992.45799,0.00028
3,3990.52926,0.00043
4,3988.60054,0.00063
5,3986.67182,0.00071
6,3984.74309,0.00069
7,3982.81437,0.00063
8,3980.88564,0.00058
9,3978.95692,0.00061
10,3977.0282,0.00071
11,3975.09947,0.00076
12,3973.17075,0.00075
13,3971.24203,0.00083
14,3969.3133,0.00093
15,3967.38458,0.00094
16,3965.45586,0.00092
17,3963.52713,0.00098
18,3961.59841,0.00106
19,3959.66968,0.0011
20,3957.74096,0.0011
21,3955.81224,0.00114
22,3953.88351,0.00126
23,3951.95479,0.00141
24,3950.02607,0.0014
25,3948.09734,0.00118
26,3946.16862,0.001
27,3944.2399,0.00102
28,3942.31117,0.0011
29,3940.38245,0.00111
30,3938.45372,0.00111
31,3936.525,0.00117
32,3934.59628,0.0013
33,3932.66755,0.00138
34,3930.73883,0.00137
35,3928.81011,0.00135
36,3926.88138,0.00138
37,3924.95266,0.00141
38,3923.02393,0.00151
39,3921.09521,0.0017
40,3919.16649,0.00176
41,3917.23776,0.00152
42,3915.30904,0.00124
43,3913.38032,0.00116
44,3911.45159,0.00127
45,3909.52287,0.00155
46,3907.59415,0.00194
47,3905.66542,0.00219
48,3903.7367,0.00203
49,3901.80797,0.00153
50,3899.87925,0.00109
51,3897.95053,0.00104
52,3896.0218,0.00131
53,3894.09308,0.00154
54,3892.16436,0.00155
55,3890.23563,0.00155
56,3888.30691,0.00165
57,3886.37819,0.00158
58,3884.44946,0.00143
59,3882.52074,0.00151
60,3880.59201,0.00159
61,3878.66329,0.00164
62,3876.73457,0.00196
63,3874.80584,0.00233
64,3872.87712,0.00245
65,3870.9484,0.00222
66,3869.01967,0.00182
67,3867.09095,0.00164
68,3865.16222,0.00164
69,3863.2335,0.00154
70,3861.30478,0.00157
71,3859.37605,0.00198
72,3857.44733,0.00261
73,3855.51861,0.00284
74,3853.58988,0.00217
75,3851.66116,0.00137
76,3849.73244,0.0015
77,3847.80371,0.00207
78,3845.87499,0.00241
79,3843.94626,0.00248
80,3842.01754,0.00244
81,3840.08882,0.00237
82,3838.16009,0.0022
83,3836.23137,0.00194
84,3834.30265,0.00189
85,3832.37392,0.0021
86,3830.4452,0.00236
87,3828.51648,0.00256
88,3826.58775,0.00275
89,3824.65903,0.00299
90,3822.7303,0.00295
91,3820.80158,0.00243
92,3818.87286,0.00201
93,3816.94413,0.00198
94,3815.01541,0.00214
95,3813.08669,0.00259
96,3811.15796,0.00323
97,3809.22924,0.00363
98,3807.30052,0.00363
99,3805.37179,0.00368
100,3803.44307,0.004
101,3801.51434,0.00408
102,3799.58562,0.00381
103,3797.6569,0.00364
104,3795.72817,0.00363
105,3793.79945,0.00373
106,3791.87073,0.00396
107,3789.942,0.00418
108,3788.01328,0.00432
109,3786.08455,0.00445
110,3784.15583,0.00459
111,3782.22711,0.00464
112,3780.29838,0.00453
113,3778.36966,0.00445
114,3776.44094,0.00471
115,3774.51221,0.0053
116,3772.58349,0.00586
117,3770.65477,0.0061
118,3768.72604,0.00606
119,3766.79732,0.00598
120,3764.86859,0.00603
121,3762.93987,0.00638
122,3761.01115,0.00693
123,3759.08242,0.00727
124,3757.1537,0.00748
125,3755.22498,0.00797
126,3753.29625,0.00866
127,3751.36753,0.00901
128,3749.43881,0.00909
129,3747.51008,0.00943
130,3745.58136,0.00988
131,3743.65263,0.01013
132,3741.72391,0.01056
133,3739.79519,0.01145
134,3737.86646,0.01251
135,3735.93774,0.0133
136,3734.00902,0.01377
137,3732.08029,0.01432
