"...1","wavenumber","absorbance"
0,3996.31543,0.00062
1,3994.38671,0.00064
2,3992.45799,1e-04
3,3990.52926,0.00058
4,3988.60054,0.00086
5,3986.67182,0.00025
6,3984.74309,0.00077
7,3982.81437,0.00078
8,3980.88564,0.00055
9,3978.95692,0.00111
10,3977.0282,0.00085
11,3975.09947,0.00056
12,3973.17075,0.00126
13,3971.24203,0.00077
14,3969.3133,0.00074
15,3967.38458,0.00058
16,3965.45586,6e-04
17,3963.52713,6e-05
18,3961.59841,0.00082
19,3959.66968,0.00071
20,3957.74096,0.00069
21,3955.81224,0.00036
22,3953.88351,0.00028
23,3951.95479,0.00068
24,3950.02607,0.00095
25,3948.09734,0.00104
26,3946.16862,0.00104
27,3944.2399,0.00017
28,3942.31117,0.00133
29,3940.38245,0.0012
30,3938.45372,0.00131
31,3936.525,0.00078
32,3934.59628,0.0014
33,3932.66755,0.00201
34,3930.73883,0.00025
35,3928.81011,0.00074
36,3926.88138,0.00049
37,3924.95266,0.00054
38,3923.02393,0.00082
39,3921.09521,0.00107
40,3919.16649,0.00012
41,3917.23776,0.00105
42,3915.30904,0.00037
43,3913.38032,0.00096
44,3911.45159,0.00091
45,3909.52287,0.00087
46,3907.59415,0.00063
47,3905.66542,9e-05
48,3903.7367,4e-05
49,3901.80797,0.00044
50,3899.87925,0.00078
51,3897.95053,0.00077
52,3896.0218,8e-04
53,3894.09308,0.00042
54,3892.16436,0.00091
55,3890.23563,2e-04
56,3888.30691,0.00058
57,3886.37819,0.00088
58,3884.44946,0.00029
59,3882.52074,0.00072
60,3880.59201,0.00131
61,3878.66329,0.00045
62,3876.73457,0.00105
63,3874.80584,0.00129
64,3872.87712,4e-04
65,3870.9484,0.00123
66,3869.01967,0.00156
67,3867.09095,0.00054
68,3865.16222,0.00108
69,3863.2335,0.00041
70,3861.30478,0.00073
71,3859.37605,0.00054
72,3857.44733,0.00089
73,3855.51861,0.00137
74,3853.58988,0.002
75,3851.66116,0.00075
76,3849.73244,0.00094
77,3847.80371,0.00129
78,3845.87499,0.00148
79,3843.94626,0.00102
80,3842.01754,2e-04
81,3840.08882,0.00062
82,3838.16009,0.00118
83,3836.23137,0.00032
84,3834.30265,0.00089
85,3832.37392,0.00141
86,3830.4452,0.00114
87,3828.51648,0.00084
88,3826.58775,0.00114
89,3824.65903,0.00129
90,3822.7303,0.00149
91,3820.80158,0.00167
92,3818.87286,0.00077
93,3816.94413,0.00256
94,3815.01541,0.00099
95,3813.08669,0.00174
96,3811.15796,0.00225
97,3809.22924,0.00161
98,3807.30052,0.00244
99,3805.37179,0.00167
100,3803.44307,0.00229
101,3801.51434,0.00292
102,3799.58562,0.00163
103,3797.6569,0.00293
104,3795.72817,0.00301
105,3793.79945,0.00314
106,3791.87073,0.00299
107,3789.942,0.00319
108,3788.01328,0.00352
109,3786.08455,0.00355
110,3784.15583,0.00381
111,3782.22711,0.00376
112,3780.29838,0.00416
113,3778.36966,0.00402
114,3776.44094,0.00499
115,3774.51221,0.00519
116,3772.58349,0.00477
117,3770.65477,0.00545
118,3768.72604,0.0052
119,3766.79732,0.00577
120,3764.86859,0.00617
121,3762.93987,0.00655
122,3761.01115,0.00666
123,3759.08242,0.00688
124,3757.1537,0.00759
125,3755.22498,0.00736
126,3753.29625,0.00831
127,3751.36753,0.00738
128,3749.43881,0.00934
129,3747.51008,0.00894
130,3745.58136,0.01223
131,3743.65263,0.01183
132,3741.72391,0.0115
133,3739.79519,0.0119
134,3737.86646,0.01271
135,3735.93774,0.01384
136,3734.00902,0.0147
137,3732.08029,0.01701
138,3730.15157,0.01791
139,3728.22284,0.01958
140,3726.29412,0.02174
141,3724.3654,0.02348
142,3722.43667,0.02667
143,3720.50795,0.0292
144,3718.57923,0.03299
145,3716.6505,0.03662
146,3714.72178,0.04093
