"X1","wavenumber","absorbance"
0,3996.31543,0.00035
1,3994.38671,0.00034
2,3992.45799,0.00022
3,3990.52926,0.00004
4,3988.60054,0.0004
5,3986.67182,0.00052
6,3984.74309,0.00028
7,3982.81437,0.00089
8,3980.88564,0.00059
9,3978.95692,0.00146
10,3977.0282,0.00086
11,3975.09947,0.00041
12,3973.17075,0.0006
13,3971.24203,0.00055
14,3969.3133,0.0012
15,3967.38458,0.00106
16,3965.45586,0.0014
17,3963.52713,0.00043
18,3961.59841,0.00127
19,3959.66968,0.00108
20,3957.74096,0.00177
21,3955.81224,0.00116
22,3953.88351,0.00098
23,3951.95479,0.00096
24,3950.02607,0.00189
25,3948.09734,0.00139
26,3946.16862,0.00106
27,3944.2399,0.00117
28,3942.31117,0.00096
29,3940.38245,0.00155
30,3938.45372,0.00147
31,3936.525,0.0015
32,3934.59628,0.00162
33,3932.66755,0.00161
34,3930.73883,0.00156
35,3928.81011,0.00136
36,3926.88138,0.00081
37,3924.95266,0.00193
38,3923.02393,0.00097
39,3921.09521,0.00098
40,3919.16649,0.00108
41,3917.23776,0.00196
42,3915.30904,0.00095
43,3913.38032,0.00144
44,3911.45159,0.00095
45,3909.52287,0.00131
46,3907.59415,0.00139
47,3905.66542,0.00153
48,3903.7367,0.00148
49,3901.80797,0.00149
50,3899.87925,0.00092
51,3897.95053,0.00065
52,3896.0218,0.00079
53,3894.09308,0.00176
54,3892.16436,0.00228
55,3890.23563,0.00125
56,3888.30691,0.00077
57,3886.37819,0.0016
58,3884.44946,0.00104
59,3882.52074,0.00091
60,3880.59201,0.00151
61,3878.66329,0.0007
62,3876.73457,0.00094
63,3874.80584,0.00141
64,3872.87712,0.00054
65,3870.9484,0.00112
66,3869.01967,0.00101
67,3867.09095,0.00005
68,3865.16222,0.00099
69,3863.2335,0.00102
70,3861.30478,0.00183
71,3859.37605,0.00125
72,3857.44733,0.00146
73,3855.51861,0.00139
74,3853.58988,0.00072
75,3851.66116,0.00035
76,3849.73244,0.00116
77,3847.80371,0.00121
78,3845.87499,0.001
79,3843.94626,0.00166
80,3842.01754,0.00154
81,3840.08882,0.00152
82,3838.16009,0.00191
83,3836.23137,0.00101
84,3834.30265,0.00107
85,3832.37392,0.00231
86,3830.4452,0.00213
87,3828.51648,0.00212
88,3826.58775,0.00148
89,3824.65903,0.00158
90,3822.7303,0.00254
91,3820.80158,0.00235
92,3818.87286,0.00116
93,3816.94413,0.00346
94,3815.01541,0.00272
95,3813.08669,0.00252
96,3811.15796,0.00258
97,3809.22924,0.00232
98,3807.30052,0.00326
99,3805.37179,0.00316
100,3803.44307,0.00379
101,3801.51434,0.0037
102,3799.58562,0.00316
103,3797.6569,0.00418
104,3795.72817,0.0036
105,3793.79945,0.00393
106,3791.87073,0.00506
107,3789.942,0.00548
108,3788.01328,0.00559
109,3786.08455,0.00558
110,3784.15583,0.0062
111,3782.22711,0.00617
112,3780.29838,0.00647
113,3778.36966,0.00624
114,3776.44094,0.00653
115,3774.51221,0.00681
116,3772.58349,0.0076
117,3770.65477,0.0088
118,3768.72604,0.00826
119,3766.79732,0.00935
120,3764.86859,0.00917
121,3762.93987,0.00915
122,3761.01115,0.00968
123,3759.08242,0.0099
124,3757.1537,0.01101
125,3755.22498,0.0119
126,3753.29625,0.01308
127,3751.36753,0.01272
128,3749.43881,0.01515
129,3747.51008,0.01442
130,3745.58136,0.01735
131,3743.65263,0.01817
132,3741.72391,0.01789
133,3739.79519,0.01934
134,3737.86646,0.02043
135,3735.93774,0.02022
136,3734.00902,0.02099
137,3732.08029,0.02449
138,3730.15157,0.02686
139,3728.22284,0.02918
140,3726.29412,0.0314
141,3724.3654,0.03365
142,3722.43667,0.03707
143,3720.50795,0.04067
144,3718.57923,0.0457
145,3716.6505,0.05072
146,3714.72178,0.05582
147,3712.79306,0.06154
148,3710.86433,0.06764
149,3708.93561,0.07458
150,3707.00688,0.08046
151,3705.07816,0.08633
152,3703.14944,0.09169
153,3701.22071,0.09726
154,3699.29199,0.10122
155,3697.36327,0.10515
156,3695.43454,0.10855
157,3693.50582,0.11083
158,3691.5771,0.11244
159,3689.64837,0.11542
160,3687.71965,0.11994
161,3685.79092,0.12276
162,3683.8622,0.12684
163,3681.93348,0.1307
164,3680.00475,0.13492
165,3678.07603,0.13841
166,3676.14731,0.1419
167,3674.21858,0.14902
168,3672.28986,0.15389
169,3670.36113,0.15826
170,3668.43241,0.16471
171,3666.50369,0.16896
172,3664.57496,0.17296
173,3662.64624,0.17725
174,3660.71752,0.18136
175,3658.78879,0.18531
176,3656.86007,0.18946
177,3654.93135,0.19358
178,3653.00262,0.19678
179,3651.0739,0.20035
180,3649.14517,0.20424
181,3647.21645,0.20859
182,3645.28773,0.21335
183,3643.359,0.21689
184,3641.43028,0.21992
185,3639.50156,0.22346
186,3637.57283,0.22755
187,3635.64411,0.23038
188,3633.71539,0.23306
189,3631.78666,0.23622
190,3629.85794,0.23736
191,3627.92921,0.24164
192,3626.00049,0.24373
193,3624.07177,0.24473
194,3622.14304,0.24597
195,3620.21432,0.24549
196,3618.2856,0.24449
197,3616.35687,0.24427
198,3614.42815,0.24333
199,3612.49942,0.24365
200,3610.5707,0.24358
201,3608.64198,0.24358
202,3606.71325,0.24393
203,3604.78453,0.24436
204,3602.85581,0.24478
205,3600.92708,0.24423
206,3598.99836,0.24443
207,3597.06964,0.24377
208,3595.14091,0.24422
209,3593.21219,0.24589
210,3591.28346,0.24566
211,3589.35474,0.2455
212,3587.42602,0.24576
213,3585.49729,0.24771
214,3583.56857,0.24748
215,3581.63985,0.24802
216,3579.71112,0.24946
217,3577.7824,0.24958
218,3575.85368,0.24996
219,3573.92495,0.25181
220,3571.99623,0.25268
221,3570.0675,0.25253
222,3568.13878,0.25249
223,3566.21006,0.25447
224,3564.28133,0.25648
225,3562.35261,0.25662
226,3560.42389,0.25736
227,3558.49516,0.25893
228,3556.56644,0.25924
229,3554.63771,0.26034
230,3552.70899,0.26094
231,3550.78027,0.26317
232,3548.85154,0.26259
233,3546.92282,0.26358
234,3544.9941,0.26391
235,3543.06537,0.26527
236,3541.13665,0.26631
237,3539.20793,0.26788
238,3537.2792,0.26832
239,3535.35048,0.269
240,3533.42175,0.27059
241,3531.49303,0.27213
242,3529.56431,0.27195
243,3527.63558,0.27235
244,3525.70686,0.27456
245,3523.77814,0.27549
