,wavenumber,absorbance
0,7496.97825,-0.0035
1,7495.04952,-0.00159
2,7493.12079,8e-05
3,7491.19206,-0.00034
4,7489.26333,9e-05
5,7487.33459,0.00348
6,7485.40586,0.00545
7,7483.47713,0.00306
8,7481.5484,0.0003
9,7479.61967,1e-05
10,7477.69094,0.00038
11,7475.76221,0.00012
12,7473.83348,-7e-05
13,7471.90474,0.00033
14,7469.97601,0.00079
15,7468.04728,0.00092
16,7466.11855,0.00126
17,7464.18982,0.00158
18,7462.26109,0.00167
19,7460.33236,0.0019
20,7458.40363,0.00199
21,7456.47489,0.00203
22,7454.54616,0.00249
23,7452.61743,0.0029
24,7450.6887,0.00312
25,7448.75997,0.00306
26,7446.83124,0.00183
27,7444.90251,0.0009
28,7442.97378,0.00232
29,7441.04504,0.00498
30,7439.11631,0.00717
31,7437.18758,0.00694
32,7435.25885,0.0035
33,7433.33012,0.00091
34,7431.40139,0.0029
35,7429.47266,0.0074
36,7427.54393,0.01037
37,7425.6152,0.01083
38,7423.68646,0.00971
39,7421.75773,0.00683
40,7419.829,0.00288
41,7417.90027,0.00156
42,7415.97154,0.00482
43,7414.04281,0.00868
44,7412.11408,0.00971
45,7410.18535,0.00993
46,7408.25661,0.01062
47,7406.32788,0.01057
48,7404.39915,0.00994
49,7402.47042,0.00943
50,7400.54169,0.00924
51,7398.61296,0.00901
52,7396.68423,0.00819
53,7394.7555,0.00719
54,7392.82676,0.00625
55,7390.89803,0.00519
56,7388.9693,0.00441
57,7387.04057,0.00439
58,7385.11184,0.00531
59,7383.18311,0.00598
60,7381.25438,0.00485
61,7379.32565,0.0028
62,7377.39691,0.0021
63,7375.46818,0.00337
64,7373.53945,0.00535
65,7371.61072,0.00662
66,7369.68199,0.00731
67,7367.75326,0.00809
68,7365.82453,0.00883
69,7363.8958,0.00928
70,7361.96706,0.00911
71,7360.03833,0.00817
72,7358.1096,0.00684
73,7356.18087,0.00551
74,7354.25214,0.00548
75,7352.32341,0.00734
76,7350.39468,0.00958
77,7348.46595,0.01138
78,7346.53722,0.01233
79,7344.60848,0.01075
80,7342.67975,0.00783
81,7340.75102,0.00833
82,7338.82229,0.01137
83,7336.89356,0.01073
84,7334.96483,0.00671
85,7333.0361,0.00456
86,7331.10737,0.00441
87,7329.17863,0.00288
88,7327.2499,0.00044
89,7325.32117,0.00021
90,7323.39244,0.00363
91,7321.46371,0.00917
92,7319.53498,0.01334
93,7317.60625,0.01428
94,7315.67752,0.01307
95,7313.74878,0.01119
96,7311.82005,0.00947
97,7309.89132,0.00837
98,7307.96259,0.00721
99,7306.03386,0.00546
100,7304.10513,0.00513
101,7302.1764,0.00726
102,7300.24767,0.0097
103,7298.31893,0.01107
104,7296.3902,0.01188
105,7294.46147,0.01174
106,7292.53274,0.00985
107,7290.60401,0.0081
108,7288.67528,0.00881
109,7286.74655,0.01063
110,7284.81782,0.01082
111,7282.88908,0.00961
112,7280.96035,0.00964
113,7279.03162,0.01172
114,7277.10289,0.01332
115,7275.17416,0.01265
116,7273.24543,0.01098
117,7271.3167,0.01052
118,7269.38797,0.01245
119,7267.45924,0.01542
120,7265.5305,0.01661
121,7263.60177,0.0151
122,7261.67304,0.01164
123,7259.74431,0.0081
124,7257.81558,0.00746
125,7255.88685,0.0096
126,7253.95812,0.01059
127,7252.02939,0.00944
128,7250.10065,0.00926
129,7248.17192,0.01109
130,7246.24319,0.0125
131,7244.31446,0.01106
132,7242.38573,0.00834
133,7240.457,0.00867
134,7238.52827,0.01192
135,7236.59954,0.01442
136,7234.6708,0.01457
137,7232.74207,0.01364
138,7230.81334,0.01323
139,7228.88461,0.01363
140,7226.95588,0.01435
141,7225.02715,0.01461
142,7223.09842,0.01392
143,7221.16969,0.01367
144,7219.24095,0.01533
145,7217.31222,0.01756
146,7215.38349,0.01801
147,7213.45476,0.01655
148,7211.52603,0.01551
149,7209.5973,0.01602
150,7207.66857,0.01621
151,7205.73984,0.01516
152,7203.8111,0.01388
153,7201.88237,0.01314
154,7199.95364,0.01402
155,7198.02491,0.01618
156,7196.09618,0.01721
157,7194.16745,0.0165
158,7192.23872,0.01559
159,7190.30999,0.01545
160,7188.38126,0.01631
161,7186.45252,0.01806
162,7184.52379,0.01954
163,7182.59506,0.01948
164,7180.66633,0.01851
165,7178.7376,0.01772
166,7176.80887,0.01665
167,7174.88014,0.01579
168,7172.95141,0.01603
169,7171.02267,0.01597
170,7169.09394,0.0147
171,7167.16521,0.01405
172,7165.23648,0.01582
173,7163.30775,0.01894
174,7161.37902,0.02006
175,7159.45029,0.01824
176,7157.52156,0.01626
177,7155.59282,0.01575
178,7153.66409,0.01623
179,7151.73536,0.01713
180,7149.80663,0.01793
181,7147.8779,0.01875
182,7145.94917,0.01978
183,7144.02044,0.01934
184,7142.09171,0.01681
185,7140.16297,0.01463
186,7138.23424,0.01476
187,7136.30551,0.01674
188,7134.37678,0.01838
189,7132.44805,0.01742
190,7130.51932,0.01476
191,7128.59059,0.01399
192,7126.66186,0.0157
193,7124.73312,0.01625
194,7122.80439,0.01431
195,7120.87566,0.01327
196,7118.94693,0.01495
197,7117.0182,0.01658
198,7115.08947,0.01623
199,7113.16074,0.01497
200,7111.23201,0.01411
201,7109.30328,0.01388
202,7107.37454,0.01358
203,7105.44581,0.01394
204,7103.51708,0.01616
205,7101.58835,0.01861
206,7099.65962,0.01908
207,7097.73089,0.01737
208,7095.80216,0.01522
209,7093.87343,0.01448
210,7091.94469,0.01514
211,7090.01596,0.01613
212,7088.08723,0.01713
213,7086.1585,0.01782
214,7084.22977,0.01738
215,7082.30104,0.01661
216,7080.37231,0.01654
217,7078.44358,0.01614
218,7076.51484,0.0153
219,7074.58611,0.0149
220,7072.65738,0.01453
221,7070.72865,0.01418
222,7068.79992,0.01451
223,7066.87119,0.01574
224,7064.94246,0.0177
225,7063.01373,0.0191
226,7061.08499,0.01855
227,7059.15626,0.01677
228,7057.22753,0.01556
229,7055.2988,0.01575
230,7053.37007,0.01653
231,7051.44134,0.01704
232,7049.51261,0.01785
233,7047.58388,0.01926
234,7045.65514,0.02044
235,7043.72641,0.02028
236,7041.79768,0.01872
237,7039.86895,0.01789
238,7037.94022,0.01844
239,7036.01149,0.01801
240,7034.08276,0.01628
241,7032.15403,0.0157
242,7030.2253,0.01698
243,7028.29656,0.01836
244,7026.36783,0.01872
245,7024.4391,0.01833
246,7022.51037,0.01766
247,7020.58164,0.01783
248,7018.65291,0.01879
249,7016.72418,0.01849
250,7014.79545,0.01716
251,7012.86671,0.01672
252,7010.93798,0.01641
253,7009.00925,0.01531
254,7007.08052,0.01576
255,7005.15179,0.01921
256,7003.22306,0.0222
257,7001.29433,0.02109
258,6999.3656,0.0178
259,6997.43686,0.01623
260,6995.50813,0.01625
261,6993.5794,0.01604
262,6991.65067,0.01599
263,6989.72194,0.01692
264,6987.79321,0.0183
265,6985.86448,0.01891
266,6983.93575,0.01837
267,6982.00701,0.01705
268,6980.07828,0.01555
269,6978.14955,0.0149
270,6976.22082,0.01511
271,6974.29209,0.01487
272,6972.36336,0.01478
273,6970.43463,0.0158
274,6968.5059,0.01604
275,6966.57716,0.01488
276,6964.64843,0.01469
277,6962.7197,0.01584
278,6960.79097,0.0165
279,6958.86224,0.01612
280,6956.93351,0.016
281,6955.00478,0.0169
282,6953.07605,0.01769
283,6951.14732,0.0175
284,6949.21858,0.01644
285,6947.28985,0.01478
286,6945.36112,0.01368
287,6943.43239,0.01409
288,6941.50366,0.01593
289,6939.57493,0.01852
290,6937.6462,0.01985
291,6935.71747,0.01851
292,6933.78873,0.01647
293,6931.86,0.01548
294,6929.93127,0.01449
295,6928.00254,0.01298
296,6926.07381,0.01201
297,6924.14508,0.012
298,6922.21635,0.01279
299,6920.28762,0.01446
300,6918.35888,0.01637
301,6916.43015,0.01758
302,6914.50142,0.01809
303,6912.57269,0.018
304,6910.64396,0.01756
305,6908.71523,0.01767
306,6906.7865,0.01835
307,6904.85777,0.01823
308,6902.92903,0.01687
309,6901.0003,0.01583
310,6899.07157,0.01643
311,6897.14284,0.01771
312,6895.21411,0.01794
313,6893.28538,0.01771
314,6891.35665,0.01806
315,6889.42792,0.0179
316,6887.49918,0.01728
317,6885.57045,0.0172
318,6883.64172,0.01666
319,6881.71299,0.01508
320,6879.78426,0.01393
321,6877.85553,0.01392
322,6875.9268,0.01445
323,6873.99807,0.01528
324,6872.06934,0.01592
325,6870.1406,0.01634
326,6868.21187,0.01698
327,6866.28314,0.01753
328,6864.35441,0.01787
329,6862.42568,0.01813
330,6860.49695,0.01808
331,6858.56822,0.0179
332,6856.63949,0.01809
333,6854.71075,0.01837
334,6852.78202,0.01835
335,6850.85329,0.01861
336,6848.92456,0.01882
337,6846.99583,0.01845
338,6845.0671,0.01914
339,6843.13837,0.02078
340,6841.20964,0.02095
341,6839.2809,0.01957
342,6837.35217,0.0186
343,6835.42344,0.01815
344,6833.49471,0.01701
345,6831.56598,0.01549
346,6829.63725,0.0148
347,6827.70852,0.0145
348,6825.77979,0.01419
349,6823.85105,0.01545
350,6821.92232,0.01723
351,6819.99359,0.01677
352,6818.06486,0.01571
353,6816.13613,0.01655
354,6814.2074,0.0181
355,6812.27867,0.01815
356,6810.34994,0.01669
357,6808.4212,0.01596
358,6806.49247,0.01738
359,6804.56374,0.01958
360,6802.63501,0.02029
361,6800.70628,0.01926
362,6798.77755,0.01794
363,6796.84882,0.01695
364,6794.92009,0.01594
365,6792.99136,0.01493
366,6791.06262,0.01451
367,6789.13389,0.01494
368,6787.20516,0.01594
369,6785.27643,0.01709
370,6783.3477,0.01724
371,6781.41897,0.01566
372,6779.49024,0.01415
373,6777.56151,0.01457
374,6775.63277,0.0162
375,6773.70404,0.01749
376,6771.77531,0.01844
377,6769.84658,0.01935
378,6767.91785,0.01926
379,6765.98912,0.01871
380,6764.06039,0.01939
381,6762.13166,0.02015
382,6760.20292,0.01952
383,6758.27419,0.01852
384,6756.34546,0.01704
385,6754.41673,0.01467
386,6752.488,0.01404
387,6750.55927,0.01569
388,6748.63054,0.01691
389,6746.70181,0.01709
390,6744.77307,0.0167
391,6742.84434,0.01652
392,6740.91561,0.01772
393,6738.98688,0.01847
394,6737.05815,0.01714
395,6735.12942,0.01583
396,6733.20069,0.01683
397,6731.27196,0.01901
398,6729.34322,0.01962
399,6727.41449,0.01857
400,6725.48576,0.01746
401,6723.55703,0.01693
402,6721.6283,0.01673
403,6719.69957,0.01642
404,6717.77084,0.01605
405,6715.84211,0.01562
406,6713.91338,0.01544
407,6711.98464,0.0164
408,6710.05591,0.01831
409,6708.12718,0.0198
410,6706.19845,0.01969
411,6704.26972,0.01859
412,6702.34099,0.01772
413,6700.41226,0.01695
414,6698.48353,0.01651
415,6696.55479,0.01649
416,6694.62606,0.01614
417,6692.69733,0.01627
418,6690.7686,0.01749
419,6688.83987,0.01841
420,6686.91114,0.01833
421,6684.98241,0.01836
422,6683.05368,0.01933
423,6681.12494,0.01995
424,6679.19621,0.01916
425,6677.26748,0.01826
426,6675.33875,0.01829
427,6673.41002,0.01853
428,6671.48129,0.01862
429,6669.55256,0.01897
430,6667.62383,0.01918
431,6665.69509,0.01877
432,6663.76636,0.01819
433,6661.83763,0.01757
434,6659.9089,0.01688
435,6657.98017,0.01631
436,6656.05144,0.01606
437,6654.12271,0.01617
438,6652.19398,0.01652
439,6650.26524,0.01754
440,6648.33651,0.0189
441,6646.40778,0.01924
442,6644.47905,0.01828
443,6642.55032,0.01691
444,6640.62159,0.01613
445,6638.69286,0.01645
446,6636.76413,0.01718
447,6634.8354,0.01727
448,6632.90666,0.01724
449,6630.97793,0.01767
450,6629.0492,0.01785
451,6627.12047,0.01739
452,6625.19174,0.01691
453,6623.26301,0.01699
454,6621.33428,0.01671
455,6619.40555,0.01573
456,6617.47681,0.01582
457,6615.54808,0.01693
458,6613.61935,0.01727
459,6611.69062,0.01732
460,6609.76189,0.01815
461,6607.83316,0.01909
462,6605.90443,0.0191
463,6603.9757,0.01821
464,6602.04696,0.01719
465,6600.11823,0.01675
466,6598.1895,0.01704
467,6596.26077,0.01769
468,6594.33204,0.01804
469,6592.40331,0.0178
470,6590.47458,0.0174
471,6588.54585,0.01749
472,6586.61711,0.01825
473,6584.68838,0.01884
474,6582.75965,0.01855
475,6580.83092,0.01807
476,6578.90219,0.01817
477,6576.97346,0.01874
478,6575.04473,0.01888
479,6573.116,0.01796
480,6571.18726,0.01684
481,6569.25853,0.0166
482,6567.3298,0.01718
483,6565.40107,0.01788
484,6563.47234,0.01833
485,6561.54361,0.01876
486,6559.61488,0.01918
487,6557.68615,0.01911
488,6555.75742,0.0182
489,6553.82868,0.01713
490,6551.89995,0.01725
491,6549.97122,0.01871
492,6548.04249,0.02005
493,6546.11376,0.02019
494,6544.18503,0.01951
495,6542.2563,0.01854
496,6540.32757,0.01759
497,6538.39883,0.01722
498,6536.4701,0.01698
499,6534.54137,0.01639
500,6532.61264,0.01626
501,6530.68391,0.01684
502,6528.75518,0.0176
503,6526.82645,0.01827
504,6524.89772,0.0186
505,6522.96898,0.01823
506,6521.04025,0.01767
507,6519.11152,0.01767
508,6517.18279,0.01782
509,6515.25406,0.01803
510,6513.32533,0.0183
511,6511.3966,0.01751
512,6509.46787,0.01653
513,6507.53913,0.01699
514,6505.6104,0.01768
515,6503.68167,0.01737
516,6501.75294,0.01685
517,6499.82421,0.01669
518,6497.89548,0.01688
519,6495.96675,0.01741
520,6494.03802,0.01805
521,6492.10928,0.01841
522,6490.18055,0.01781
523,6488.25182,0.0165
524,6486.32309,0.01603
525,6484.39436,0.01666
526,6482.46563,0.01716
527,6480.5369,0.01704
528,6478.60817,0.0172
529,6476.67944,0.01778
530,6474.7507,0.01731
531,6472.82197,0.01604
532,6470.89324,0.0159
533,6468.96451,0.01688
534,6467.03578,0.01751
535,6465.10705,0.01722
536,6463.17832,0.01672
537,6461.24959,0.01694
538,6459.32085,0.01779
539,6457.39212,0.01847
540,6455.46339,0.0186
541,6453.53466,0.01847
542,6451.60593,0.01846
543,6449.6772,0.01875
544,6447.74847,0.01922
545,6445.81974,0.01944
546,6443.891,0.01955
547,6441.96227,0.01997
548,6440.03354,0.02037
549,6438.10481,0.02032
550,6436.17608,0.0199
551,6434.24735,0.01954
552,6432.31862,0.01957
553,6430.38989,0.01958
554,6428.46115,0.01983
555,6426.53242,0.02055
556,6424.60369,0.0206
557,6422.67496,0.02003
558,6420.74623,0.01985
559,6418.8175,0.02004
560,6416.88877,0.02047
561,6414.96004,0.02099
562,6413.0313,0.02099
563,6411.10257,0.02016
564,6409.17384,0.01893
565,6407.24511,0.01793
566,6405.31638,0.01769
567,6403.38765,0.01808
568,6401.45892,0.01819
569,6399.53019,0.01749
570,6397.60146,0.01676
571,6395.67272,0.01661
572,6393.74399,0.01647
573,6391.81526,0.01645
574,6389.88653,0.01695
575,6387.9578,0.01733
576,6386.02907,0.01768
577,6384.10034,0.01881
578,6382.17161,0.01961
579,6380.24287,0.01914
580,6378.31414,0.01889
581,6376.38541,0.01926
582,6374.45668,0.01932
583,6372.52795,0.01954
584,6370.59922,0.02011
585,6368.67049,0.02023
586,6366.74176,0.01989
587,6364.81302,0.01959
588,6362.88429,0.01958
589,6360.95556,0.01949
590,6359.02683,0.01898
591,6357.0981,0.01885
592,6355.16937,0.01955
593,6353.24064,0.02053
594,6351.31191,0.02106
595,6349.38317,0.02055
596,6347.45444,0.01956
597,6345.52571,0.01925
598,6343.59698,0.01987
599,6341.66825,0.02059
600,6339.73952,0.02041
601,6337.81079,0.01982
602,6335.88206,0.0196
603,6333.95332,0.01939
604,6332.02459,0.01933
605,6330.09586,0.01948
606,6328.16713,0.0192
607,6326.2384,0.01876
608,6324.30967,0.019
609,6322.38094,0.01933
610,6320.45221,0.01893
611,6318.52348,0.01874
612,6316.59474,0.01933
613,6314.66601,0.02016
614,6312.73728,0.02102
615,6310.80855,0.02127
616,6308.87982,0.02063
617,6306.95109,0.02034
618,6305.02236,0.02075
619,6303.09363,0.02067
620,6301.16489,0.01975
621,6299.23616,0.01899
622,6297.30743,0.01907
623,6295.3787,0.0193
624,6293.44997,0.01866
625,6291.52124,0.01792
626,6289.59251,0.01858
627,6287.66378,0.01992
628,6285.73504,0.02035
629,6283.80631,0.01994
630,6281.87758,0.01964
631,6279.94885,0.01976
632,6278.02012,0.02018
633,6276.09139,0.02076
634,6274.16266,0.02141
635,6272.23393,0.02167
636,6270.30519,0.02115
637,6268.37646,0.02067
638,6266.44773,0.02055
639,6264.519,0.01969
640,6262.59027,0.01852
641,6260.66154,0.01839
642,6258.73281,0.01895
643,6256.80408,0.01925
644,6254.87534,0.01919
645,6252.94661,0.01903
646,6251.01788,0.01935
647,6249.08915,0.01997
648,6247.16042,0.01994
649,6245.23169,0.01964
650,6243.30296,0.01956
651,6241.37423,0.01918
652,6239.4455,0.01853
653,6237.51676,0.01815
654,6235.58803,0.01822
655,6233.6593,0.01837
656,6231.73057,0.01838
657,6229.80184,0.01881
658,6227.87311,0.01973
659,6225.94438,0.02003
660,6224.01565,0.01925
661,6222.08691,0.01861
662,6220.15818,0.0188
663,6218.22945,0.01932
664,6216.30072,0.01976
665,6214.37199,0.01977
666,6212.44326,0.01936
667,6210.51453,0.0191
668,6208.5858,0.0191
669,6206.65706,0.01895
670,6204.72833,0.01863
671,6202.7996,0.01843
672,6200.87087,0.01806
673,6198.94214,0.0174
674,6197.01341,0.01691
675,6195.08468,0.01698
676,6193.15595,0.0176
677,6191.22721,0.0185
678,6189.29848,0.01917
679,6187.36975,0.01867
680,6185.44102,0.01749
681,6183.51229,0.01748
682,6181.58356,0.0187
683,6179.65483,0.01975
684,6177.7261,0.0198
685,6175.79736,0.01892
686,6173.86863,0.01809
687,6171.9399,0.01813
688,6170.01117,0.01884
689,6168.08244,0.01939
690,6166.15371,0.01909
691,6164.22498,0.01853
692,6162.29625,0.01866
693,6160.36752,0.0191
694,6158.43878,0.01923
695,6156.51005,0.0192
696,6154.58132,0.01924
697,6152.65259,0.01922
698,6150.72386,0.0192
699,6148.79513,0.01926
700,6146.8664,0.01918
701,6144.93767,0.01893
702,6143.00893,0.01895
703,6141.0802,0.01922
704,6139.15147,0.01917
705,6137.22274,0.01888
706,6135.29401,0.01887
707,6133.36528,0.01928
708,6131.43655,0.0199
