,wavenumber,absorbance
0,7496.94889,-0.01591
1,7495.02016,-0.00531
2,7493.09144,0.00059
3,7491.16272,0.00173
4,7489.23399,0.00359
5,7487.30527,0.00765
6,7485.37654,0.00822
7,7483.44782,0.00335
8,7481.5191,-0.0026
9,7479.59037,-0.00669
10,7477.66165,-0.00678
11,7475.73293,-0.00266
12,7473.8042,0.00121
13,7471.87548,0.0036
14,7469.94676,0.00599
15,7468.01803,0.00606
16,7466.08931,0.00312
17,7464.16058,0.00082
18,7462.23186,-4e-05
19,7460.30314,-0.00323
20,7458.37441,-0.00879
21,7456.44569,-0.00927
22,7454.51697,-0.00166
23,7452.58824,0.00512
24,7450.65952,0.00541
25,7448.73079,0.00391
26,7446.80207,0.00388
27,7444.87335,0.00425
28,7442.94462,0.00375
29,7441.0159,0.00143
30,7439.08718,-0.00166
31,7437.15845,-0.0033
32,7435.22973,-0.00158
33,7433.30101,0.00287
34,7431.37228,0.00423
35,7429.44356,-5e-05
36,7427.51483,-0.00373
37,7425.58611,-0.00269
38,7423.65739,0.00136
39,7421.72866,0.00525
40,7419.79994,0.00488
41,7417.87122,0.00183
42,7415.94249,0.00294
43,7414.01377,0.00792
44,7412.08505,0.01079
45,7410.15632,0.01003
46,7408.2276,0.00679
47,7406.29887,0.00182
48,7404.37015,-0.00122
49,7402.44143,-0.00055
50,7400.5127,0.00036
51,7398.58398,0.00015
52,7396.65526,0.00017
53,7394.72653,0.00048
54,7392.79781,0.00109
55,7390.86908,0.00149
56,7388.94036,0.00191
57,7387.01164,0.0052
58,7385.08291,0.01184
59,7383.15419,0.01696
60,7381.22547,0.01652
61,7379.29674,0.01274
62,7377.36802,0.01085
63,7375.4393,0.01157
64,7373.51057,0.0112
65,7371.58185,0.00881
66,7369.65312,0.00435
67,7367.7244,-0.00282
68,7365.79568,-0.00731
69,7363.86695,-0.00459
70,7361.93823,0.00053
71,7360.00951,0.00353
72,7358.08078,0.00438
73,7356.15206,0.0025
74,7354.22334,-0.00094
75,7352.29461,-0.00201
76,7350.36589,0.00121
77,7348.43716,0.00718
78,7346.50844,0.01186
79,7344.57972,0.01259
80,7342.65099,0.01033
81,7340.72227,0.00587
82,7338.79355,0.00115
83,7336.86482,-0.0003
84,7334.9361,0.00235
85,7333.00737,0.00699
86,7331.07865,0.00838
87,7329.14993,0.00368
88,7327.2212,-0.0015
89,7325.29248,-0.00179
90,7323.36376,0.00115
91,7321.43503,0.00351
92,7319.50631,0.00342
93,7317.57759,0.00252
