,wavenumber,absorbance
0,7496.94889,-0.00604
1,7495.02016,0.00218
2,7493.09144,0.00994
3,7491.16272,0.01542
4,7489.23399,0.02453
5,7487.30527,0.03141
6,7485.37654,0.02626
7,7483.44782,0.01513
8,7481.5191,0.00401
9,7479.59037,-0.00325
10,7477.66165,0.00119
11,7475.73293,0.01549
12,7473.8042,0.02183
13,7471.87548,0.00873
14,7469.94676,-0.00649
15,7468.01803,-0.00502
16,7466.08931,0.00635
17,7464.16058,0.01672
18,7462.23186,0.02396
19,7460.30314,0.02251
20,7458.37441,0.01676
21,7456.44569,0.02176
22,7454.51697,0.03269
23,7452.58824,0.03178
24,7450.65952,0.02218
25,7448.73079,0.02054
26,7446.80207,0.02391
27,7444.87335,0.01723
28,7442.94462,0.00242
29,7441.0159,-0.00838
30,7439.08718,-0.01132
31,7437.15845,-0.00752
32,7435.22973,0.00326
33,7433.30101,0.01582
34,7431.37228,0.02363
35,7429.44356,0.02765
36,7427.51483,0.02936
37,7425.58611,0.02805
38,7423.65739,0.0226
39,7421.72866,0.01378
40,7419.79994,0.00818
41,7417.87122,0.01079
42,7415.94249,0.01848
43,7414.01377,0.02429
44,7412.08505,0.02493
45,7410.15632,0.02311
46,7408.2276,0.02086
47,7406.29887,0.01752
48,7404.37015,0.0159
49,7402.44143,0.01799
50,7400.5127,0.02024
51,7398.58398,0.02182
52,7396.65526,0.02121
53,7394.72653,0.01572
54,7392.79781,0.01513
55,7390.86908,0.0275
56,7388.94036,0.04282
57,7387.01164,0.04866
58,7385.08291,0.04558
59,7383.15419,0.0417
60,7381.22547,0.03863
61,7379.29674,0.03492
62,7377.36802,0.03288
63,7375.4393,0.03065
64,7373.51057,0.025
65,7371.58185,0.02025
66,7369.65312,0.02024
67,7367.7244,0.02369
68,7365.79568,0.03053
69,7363.86695,0.03921
70,7361.93823,0.04279
71,7360.00951,0.0389
72,7358.08078,0.03485
73,7356.15206,0.03217
74,7354.22334,0.0252
75,7352.29461,0.01965
76,7350.36589,0.02235
77,7348.43716,0.02569
78,7346.50844,0.02243
79,7344.57972,0.01681
80,7342.65099,0.01409
81,7340.72227,0.01571
82,7338.79355,0.02313
83,7336.86482,0.0345
84,7334.9361,0.04214
85,7333.00737,0.04111
86,7331.07865,0.03689
87,7329.14993,0.03688
88,7327.2212,0.03573
89,7325.29248,0.02526
90,7323.36376,0.01029
91,7321.43503,0.00306
