,wavenumber,absorbance
0,7496.94889,-0.01923
1,7495.02016,-0.0064
2,7493.09144,0.00475
3,7491.16272,0.0106
4,7489.23399,0.01643
5,7487.30527,0.01811
6,7485.37654,0.0127
7,7483.44782,0.00064
8,7481.5191,-0.01462
9,7479.59037,-0.02308
10,7477.66165,-0.0214
11,7475.73293,-0.01578
12,7473.8042,-0.01044
13,7471.87548,-0.0081
14,7469.94676,-0.00604
15,7468.01803,0.00242
16,7466.08931,0.0112
17,7464.16058,0.01037
18,7462.23186,0.00624
19,7460.30314,0.01143
20,7458.37441,0.02175
21,7456.44569,0.02045
22,7454.51697,0.00779
23,7452.58824,0.002
24,7450.65952,0.00921
25,7448.73079,0.02037
26,7446.80207,0.0299
27,7444.87335,0.03512
28,7442.94462,0.03408
29,7441.0159,0.03074
30,7439.08718,0.02652
31,7437.15845,0.02329
32,7435.22973,0.02506
33,7433.30101,0.02565
34,7431.37228,0.02277
35,7429.44356,0.02523
36,7427.51483,0.03
37,7425.58611,0.02535
38,7423.65739,0.01487
39,7421.72866,0.00729
40,7419.79994,0.0044
41,7417.87122,0.00757
42,7415.94249,0.00963
43,7414.01377,0.00428
44,7412.08505,0.00215
45,7410.15632,0.00871
46,7408.2276,0.01465
47,7406.29887,0.01626
48,7404.37015,0.01644
49,7402.44143,0.01756
50,7400.5127,0.02358
51,7398.58398,0.03144
52,7396.65526,0.03145
53,7394.72653,0.0252
54,7392.79781,0.02072
55,7390.86908,0.02129
56,7388.94036,0.02952
57,7387.01164,0.03927
58,7385.08291,0.03744
59,7383.15419,0.0254
60,7381.22547,0.01843
61,7379.29674,0.02434
62,7377.36802,0.02938
63,7375.4393,0.0195
64,7373.51057,0.00425
65,7371.58185,-0.001
66,7369.65312,0.00446
67,7367.7244,0.01429
68,7365.79568,0.02411
69,7363.86695,0.02916
70,7361.93823,0.02575
71,7360.00951,0.02094
72,7358.08078,0.02442
73,7356.15206,0.03038
74,7354.22334,0.02773
75,7352.29461,0.02285
76,7350.36589,0.02276
77,7348.43716,0.01629
78,7346.50844,0.00097
79,7344.57972,-0.00704
80,7342.65099,-0.00029
81,7340.72227,0.01144
82,7338.79355,0.01945
83,7336.86482,0.02298
84,7334.9361,0.02419
85,7333.00737,0.02552
86,7331.07865,0.02356
87,7329.14993,0.01761
88,7327.2212,0.014
89,7325.29248,0.01296
90,7323.36376,0.01151
91,7321.43503,0.00975
92,7319.50631,0.00671
93,7317.57759,0.00521
94,7315.64886,0.01427
95,7313.72014,0.0299
96,7311.79141,0.0353
97,7309.86269,0.03141
98,7307.93397,0.02873
99,7306.00524,0.02663
100,7304.07652,0.02363
101,7302.1478,0.02076
102,7300.21907,0.02107
103,7298.29035,0.02822
104,7296.36163,0.0374
105,7294.4329,0.04125
106,7292.50418,0.04002
107,7290.57545,0.03573
108,7288.64673,0.02663
109,7286.71801,0.01815
110,7284.78928,0.02212
111,7282.86056,0.03316
112,7280.93184,0.03818
113,7279.00311,0.03875
114,7277.07439,0.03827
115,7275.14566,0.03365
116,7273.21694,0.02429
117,7271.28822,0.0148
118,7269.35949,0.01313
119,7267.43077,0.0181
120,7265.50205,0.01724
121,7263.57332,0.01098
122,7261.6446,0.01351
123,7259.71588,0.02449
124,7257.78715,0.03232
125,7255.85843,0.03246
126,7253.9297,0.02733
127,7252.00098,0.02316
128,7250.07226,0.02263
129,7248.14353,0.02259
130,7246.21481,0.0228
131,7244.28609,0.02489
132,7242.35736,0.0258
133,7240.42864,0.02343
134,7238.49992,0.02511
135,7236.57119,0.03073
136,7234.64247,0.02681
137,7232.71374,0.01588
138,7230.78502,0.01338
139,7228.8563,0.01892
140,7226.92757,0.02585
141,7224.99885,0.03252
142,7223.07013,0.03656
143,7221.1414,0.03929
144,7219.21268,0.0453
145,7217.28396,0.05192
146,7215.35523,0.053
147,7213.42651,0.04804
148,7211.49778,0.04001
149,7209.56906,0.03353
150,7207.64034,0.0335
151,7205.71161,0.03891
152,7203.78289,0.04309
153,7201.85417,0.04391
154,7199.92544,0.04204
155,7197.99672,0.03312
156,7196.06799,0.0196
157,7194.13927,0.0124
158,7192.21055,0.0105
159,7190.28182,0.00835
160,7188.3531,0.01216
161,7186.42438,0.0264
162,7184.49565,0.04118
163,7182.56693,0.04142
164,7180.63821,0.02709
165,7178.70948,0.01587
166,7176.78076,0.01648
167,7174.85203,0.02332
168,7172.92331,0.03119
169,7170.99459,0.03378
170,7169.06586,0.02616
171,7167.13714,0.01417
172,7165.20842,0.00984
173,7163.27969,0.01713
174,7161.35097,0.02742
175,7159.42225,0.03164
176,7157.49352,0.02799
177,7155.5648,0.01846
178,7153.63607,0.01056
179,7151.70735,0.01113
180,7149.77863,0.0186
181,7147.8499,0.02764
182,7145.92118,0.03154
183,7143.99246,0.02744
184,7142.06373,0.02198
185,7140.13501,0.02326
186,7138.20628,0.03091
187,7136.27756,0.03309
188,7134.34884,0.02468
189,7132.42011,0.02045
190,7130.49139,0.03023
191,7128.56267,0.04024
192,7126.63394,0.03597
193,7124.70522,0.02653
194,7122.7765,0.02534
195,7120.84777,0.0248
196,7118.91905,0.01768
197,7116.99032,0.01291
198,7115.0616,0.01579
199,7113.13288,0.02147
200,7111.20415,0.02719
201,7109.27543,0.03543
202,7107.34671,0.04349
203,7105.41798,0.04281
204,7103.48926,0.033
205,7101.56054,0.02377
206,7099.63181,0.02348
207,7097.70309,0.03025
208,7095.77436,0.03625
209,7093.84564,0.03714
210,7091.91692,0.03236
211,7089.98819,0.02595
212,7088.05947,0.02459
213,7086.13075,0.02607
214,7084.20202,0.02188
215,7082.2733,0.01734
216,7080.34457,0.02586
217,7078.41585,0.03981
218,7076.48713,0.04102
219,7074.5584,0.03218
220,7072.62968,0.02745
221,7070.70096,0.02764
222,7068.77223,0.02792
223,7066.84351,0.03063
224,7064.91479,0.03385
225,7062.98606,0.03087
226,7061.05734,0.02737
227,7059.12861,0.03026
228,7057.19989,0.03291
229,7055.27117,0.0326
230,7053.34244,0.03485
231,7051.41372,0.0365
232,7049.485,0.03391
233,7047.55627,0.03415
234,7045.62755,0.0372
235,7043.69883,0.03541
236,7041.7701,0.03296
237,7039.84138,0.0338
238,7037.91265,0.03248
239,7035.98393,0.02852
240,7034.05521,0.02503
241,7032.12648,0.02398
242,7030.19776,0.0274
243,7028.26904,0.03073
244,7026.34031,0.02603
245,7024.41159,0.01703
246,7022.48286,0.01423
247,7020.55414,0.01521
248,7018.62542,0.01284
249,7016.69669,0.01343
250,7014.76797,0.02293
251,7012.83925,0.03369
252,7010.91052,0.03692
253,7008.9818,0.0331
254,7007.05308,0.02905
255,7005.12435,0.03025
256,7003.19563,0.03423
257,7001.2669,0.03363
258,6999.33818,0.02979
259,6997.40946,0.02841
260,6995.48073,0.02688
261,6993.55201,0.02377
262,6991.62329,0.02241
263,6989.69456,0.02239
264,6987.76584,0.02385
265,6985.83712,0.02896
266,6983.90839,0.03275
267,6981.97967,0.02832
