,wavenumber,absorbance
0,7496.97825,0.00219
1,7495.04952,0.00157
2,7493.12079,-0.00155
3,7491.19206,-0.00519
4,7489.26333,-0.00643
5,7487.33459,-0.0038
6,7485.40586,0.00051
7,7483.47713,0.00348
8,7481.5484,0.00424
9,7479.61967,0.00307
10,7477.69094,0.00079
11,7475.76221,-0.0012
12,7473.83348,-0.00141
13,7471.90474,-3e-05
14,7469.97601,-0.00105
15,7468.04728,-0.00663
16,7466.11855,-0.01207
17,7464.18982,-0.01256
18,7462.26109,-0.00959
19,7460.33236,-0.00787
20,7458.40363,-0.00741
21,7456.47489,-0.00414
22,7454.54616,-5e-05
23,7452.61743,0.00061
24,7450.6887,0.00022
25,7448.75997,0.00157
26,7446.83124,0.00239
27,7444.90251,0.0004
28,7442.97378,-0.00211
29,7441.04504,-0.00174
30,7439.11631,0.00062
31,7437.18758,0.00253
32,7435.25885,0.00335
33,7433.33012,0.00335
34,7431.40139,0.00272
35,7429.47266,0.00054
36,7427.54393,-0.00419
37,7425.6152,-0.00965
38,7423.68646,-0.01191
39,7421.75773,-0.00955
40,7419.829,-0.00386
41,7417.90027,0.0038
42,7415.97154,0.00917
43,7414.04281,0.00855
44,7412.11408,0.00509
45,7410.18535,0.00245
46,7408.25661,-0.00078
47,7406.32788,-0.00502
48,7404.39915,-0.00648
49,7402.47042,-0.00391
50,7400.54169,-0.00101
51,7398.61296,-1e-05
52,7396.68423,0.00045
53,7394.7555,0.00118
54,7392.82676,0.00106
55,7390.89803,0.00021
56,7388.9693,4e-05
57,7387.04057,0.00058
58,7385.11184,0.0013
59,7383.18311,0.00193
60,7381.25438,0.00131
61,7379.32565,-0.00146
62,7377.39691,-0.00419
63,7375.46818,-0.00376
64,7373.53945,-0.002
65,7371.61072,-0.00365
66,7369.68199,-0.0082
67,7367.75326,-0.01132
68,7365.82453,-0.01178
69,7363.8958,-0.01096
70,7361.96706,-0.00932
71,7360.03833,-0.00724
72,7358.1096,-0.00586
73,7356.18087,-0.00468
74,7354.25214,-0.00214
75,7352.32341,0.001
76,7350.39468,0.00285
77,7348.46595,0.00163
78,7346.53722,-0.00152
79,7344.60848,-0.0021
80,7342.67975,9e-05
81,7340.75102,0.00119
82,7338.82229,0.00122
83,7336.89356,0.00276
84,7334.96483,0.00492
85,7333.0361,0.00444
86,7331.10737,0.00097
87,7329.17863,-0.00241
88,7327.2499,-0.00372
89,7325.32117,-0.00395
90,7323.39244,-0.00358
91,7321.46371,-0.00157
92,7319.53498,-0.00028
93,7317.60625,-0.0017
94,7315.67752,-0.00202
95,7313.74878,-0.00017
96,7311.82005,-0.0007
97,7309.89132,-0.00401
98,7307.96259,-0.00612
99,7306.03386,-0.00415
100,7304.10513,-0.00019
101,7302.1764,0.00077
102,7300.24767,-0.0017
103,7298.31893,-0.00404
104,7296.3902,-0.00456
105,7294.46147,-0.00418
106,7292.53274,-0.00343
107,7290.60401,-0.00164
108,7288.67528,0.0004
109,7286.74655,0.00056
110,7284.81782,-0.00044
111,7282.88908,-2e-05
112,7280.96035,0.00153
113,7279.03162,0.00164
114,7277.10289,-0.00014
115,7275.17416,-0.00277
116,7273.24543,-0.00628
117,7271.3167,-0.00925
118,7269.38797,-0.00963
119,7267.45924,-0.00813
120,7265.5305,-0.00521
121,7263.60177,-0.00106
122,7261.67304,0.00096
123,7259.74431,-0.00078
124,7257.81558,-0.00271
125,7255.88685,-0.00244
126,7253.95812,-0.0008
127,7252.02939,0.00182
128,7250.10065,0.0035
129,7248.17192,0.00106
130,7246.24319,-0.00366
131,7244.31446,-0.00602
132,7242.38573,-0.00413
133,7240.457,-0.0006
134,7238.52827,0.00042
135,7236.59954,-0.0009
136,7234.6708,-0.00273
137,7232.74207,-0.00479
138,7230.81334,-0.00599
139,7228.88461,-0.00558
140,7226.95588,-0.00375
141,7225.02715,-0.00065
142,7223.09842,0.00328
143,7221.16969,0.0071
144,7219.24095,0.00796
145,7217.31222,0.00429
146,7215.38349,-0.00045
147,7213.45476,-0.00248
148,7211.52603,-0.00185
149,7209.5973,0.0005
150,7207.66857,0.00385
151,7205.73984,0.006
152,7203.8111,0.00625
153,7201.88237,0.00695
154,7199.95364,0.00809
155,7198.02491,0.00692
156,7196.09618,0.00343
157,7194.16745,0.001
158,7192.23872,0.00138
159,7190.30999,0.00205
160,7188.38126,0.00102
161,7186.45252,0.00046
162,7184.52379,0.00125
163,7182.59506,0.00082
164,7180.66633,-0.00038
165,7178.7376,-0.00016
166,7176.80887,0.00061
167,7174.88014,0.00111
168,7172.95141,0.0024
169,7171.02267,0.00512
170,7169.09394,0.00739
171,7167.16521,0.00666
172,7165.23648,0.00406
173,7163.30775,0.00216
174,7161.37902,0.00187
175,7159.45029,0.00382
176,7157.52156,0.00598
177,7155.59282,0.00488
178,7153.66409,0.00052
179,7151.73536,-0.0029
180,7149.80663,-0.00201
181,7147.8779,-4e-05
182,7145.94917,-0.00114
183,7144.02044,-0.00293
184,7142.09171,-0.00196
185,7140.16297,0.00098
186,7138.23424,0.00378
187,7136.30551,0.00452
188,7134.37678,0.00329
189,7132.44805,0.00189
190,7130.51932,0.00086
191,7128.59059,0.00085
192,7126.66186,0.0026
193,7124.73312,0.00428
194,7122.80439,0.0039
195,7120.87566,0.00192
196,7118.94693,-0.00066
197,7117.0182,-0.00207
198,7115.08947,-0.00112
199,7113.16074,0.00034
200,7111.23201,0.00097
201,7109.30328,0.00151
202,7107.37454,0.003
203,7105.44581,0.0056
204,7103.51708,0.00705
205,7101.58835,0.00508
206,7099.65962,0.00161
207,7097.73089,-0.00035
208,7095.80216,-0.00058
209,7093.87343,0.00036
210,7091.94469,0.00161
211,7090.01596,0.00185
212,7088.08723,0.00175
213,7086.1585,0.00262
214,7084.22977,0.00248
215,7082.30104,-0.00027
216,7080.37231,-0.0022
217,7078.44358,-0.00097
218,7076.51484,0.00065
219,7074.58611,0.00093
220,7072.65738,0.0011
221,7070.72865,0.00175
222,7068.79992,0.0018
223,7066.87119,0.00094
224,7064.94246,0.00051
225,7063.01373,0.00175
226,7061.08499,0.00448
227,7059.15626,0.00608
228,7057.22753,0.00445
229,7055.2988,0.0016
230,7053.37007,0.00058
231,7051.44134,0.0017
232,7049.51261,0.00309
233,7047.58388,0.00269
234,7045.65514,0.00098
235,7043.72641,0.00028
236,7041.79768,0.00089
237,7039.86895,0.00135
238,7037.94022,0.00111
239,7036.01149,0.00067
240,7034.08276,0.00029
241,7032.15403,-0.00014
242,7030.2253,-0.0005
243,7028.29656,-0.00055
244,7026.36783,-0.0003
245,7024.4391,-0.00065
246,7022.51037,-0.00236
247,7020.58164,-0.0037
248,7018.65291,-0.0029
249,7016.72418,-0.00086
250,7014.79545,0.00075
251,7012.86671,0.00154
252,7010.93798,0.0019
253,7009.00925,0.00208
254,7007.08052,0.00213
255,7005.15179,0.00144
256,7003.22306,-0.00073
257,7001.29433,-0.00284
258,6999.3656,-0.00208
259,6997.43686,0.00124
260,6995.50813,0.00404
261,6993.5794,0.00478
262,6991.65067,0.00512
263,6989.72194,0.00592
264,6987.79321,0.00453
265,6985.86448,0.00056
266,6983.93575,-0.00245
267,6982.00701,-0.00302
268,6980.07828,-0.00213
269,6978.14955,-0.0016
270,6976.22082,-0.0029
271,6974.29209,-0.00441
272,6972.36336,-0.00404
273,6970.43463,-0.00319
274,6968.5059,-0.00384
275,6966.57716,-0.00489
276,6964.64843,-0.00479
277,6962.7197,-0.00333
278,6960.79097,-0.00135
279,6958.86224,-0.00034
280,6956.93351,-0.00057
281,6955.00478,-0.0012
282,6953.07605,-0.00066
283,6951.14732,0.00198
284,6949.21858,0.00388
285,6947.28985,0.00252
286,6945.36112,0.0004
287,6943.43239,0.00031
288,6941.50366,0.00104
289,6939.57493,0.00108
290,6937.6462,0.00093
291,6935.71747,0.00049
292,6933.78873,-0.00056
293,6931.86,-0.00049
294,6929.93127,0.00172
295,6928.00254,0.00417
296,6926.07381,0.00496
297,6924.14508,0.00406
298,6922.21635,0.00238
299,6920.28762,0.00156
300,6918.35888,0.00226
301,6916.43015,0.00352
302,6914.50142,0.00434
303,6912.57269,0.00423
304,6910.64396,0.0039
305,6908.71523,0.00403
306,6906.7865,0.00368
307,6904.85777,0.00165
308,6902.92903,-0.00093
309,6901.0003,-0.00095
310,6899.07157,0.00183
311,6897.14284,0.00428
312,6895.21411,0.0051
313,6893.28538,0.00547
314,6891.35665,0.00565
315,6889.42792,0.0051
316,6887.49918,0.00413
317,6885.57045,0.00324
318,6883.64172,0.00293
319,6881.71299,0.00282
320,6879.78426,0.00129
321,6877.85553,-0.0011
322,6875.9268,-0.0019
323,6873.99807,-0.00076
324,6872.06934,0.00095
325,6870.1406,0.0026
326,6868.21187,0.00439
327,6866.28314,0.00562
328,6864.35441,0.00453
329,6862.42568,0.00132
330,6860.49695,-0.00077
331,6858.56822,0.00044
332,6856.63949,0.00322
333,6854.71075,0.00454
334,6852.78202,0.00431
335,6850.85329,0.00526
336,6848.92456,0.0074
337,6846.99583,0.00732
338,6845.0671,0.00473
339,6843.13837,0.00333
340,6841.20964,0.0038
341,6839.2809,0.00347
342,6837.35217,0.00168
343,6835.42344,-0.00079
344,6833.49471,-0.00247
345,6831.56598,-0.0014
346,6829.63725,0.00019
347,6827.70852,-0.00025
348,6825.77979,-0.00012
349,6823.85105,0.00278
350,6821.92232,0.00551
351,6819.99359,0.0049
352,6818.06486,0.00226
353,6816.13613,-6e-05
354,6814.2074,-0.00051
355,6812.27867,0.00119
356,6810.34994,0.00257
357,6808.4212,0.00233
358,6806.49247,0.00108
359,6804.56374,-0.00073
360,6802.63501,-0.00143
361,6800.70628,-0.0001
362,6798.77755,0.00142
363,6796.84882,0.00106
364,6794.92009,-0.00059
365,6792.99136,-0.0011
366,6791.06262,-0.00023
367,6789.13389,0.0007
368,6787.20516,0.00146
369,6785.27643,0.00166
370,6783.3477,0.00132
371,6781.41897,0.00107
372,6779.49024,0.00106
373,6777.56151,0.00188
374,6775.63277,0.00332
375,6773.70404,0.0039
376,6771.77531,0.00319
377,6769.84658,0.00235
378,6767.91785,0.00195
379,6765.98912,0.00156
380,6764.06039,0.00137
381,6762.13166,0.00097
382,6760.20292,-9e-05
383,6758.27419,-9e-05
384,6756.34546,0.00197
385,6754.41673,0.00378
386,6752.488,0.00295
387,6750.55927,0.0001
388,6748.63054,-0.00172
389,6746.70181,-0.00085
390,6744.77307,0.00113
391,6742.84434,0.0026
392,6740.91561,0.00318
393,6738.98688,0.00335
394,6737.05815,0.00373
395,6735.12942,0.00348
396,6733.20069,0.00271
397,6731.27196,0.00322
398,6729.34322,0.0048
399,6727.41449,0.00512
400,6725.48576,0.00309
401,6723.55703,0.00108
402,6721.6283,0.00137
403,6719.69957,0.00272
404,6717.77084,0.00316
405,6715.84211,0.0023
406,6713.91338,0.00111
407,6711.98464,0.00125
408,6710.05591,0.00331
409,6708.12718,0.00535
410,6706.19845,0.0055
411,6704.26972,0.00477
412,6702.34099,0.00442
413,6700.41226,0.00413
414,6698.48353,0.00389
415,6696.55479,0.00352
416,6694.62606,0.00284
417,6692.69733,0.00262
418,6690.7686,0.00303
419,6688.83987,0.00367
420,6686.91114,0.00446
421,6684.98241,0.00473
422,6683.05368,0.00406
423,6681.12494,0.00321
424,6679.19621,0.0031
425,6677.26748,0.00379
426,6675.33875,0.00431
427,6673.41002,0.00433
428,6671.48129,0.00405
429,6669.55256,0.00344
430,6667.62383,0.00286
431,6665.69509,0.00273
432,6663.76636,0.00324
433,6661.83763,0.00407
434,6659.9089,0.00418
435,6657.98017,0.00336
436,6656.05144,0.00284
437,6654.12271,0.00305
438,6652.19398,0.00334
439,6650.26524,0.00349
440,6648.33651,0.00289
441,6646.40778,0.00235
442,6644.47905,0.00412
443,6642.55032,0.00685
444,6640.62159,0.00768
445,6638.69286,0.00661
446,6636.76413,0.0046
447,6634.8354,0.00286
448,6632.90666,0.00241
449,6630.97793,0.00286
450,6629.0492,0.00361
451,6627.12047,0.0048
452,6625.19174,0.00648
453,6623.26301,0.00743
454,6621.33428,0.00625
455,6619.40555,0.00372
456,6617.47681,0.00259
457,6615.54808,0.00415
458,6613.61935,0.00645
459,6611.69062,0.00737
460,6609.76189,0.00672
461,6607.83316,0.00591
462,6605.90443,0.00587
463,6603.9757,0.00557
464,6602.04696,0.00438
465,6600.11823,0.00347
466,6598.1895,0.00374
467,6596.26077,0.00426
468,6594.33204,0.00366
469,6592.40331,0.00268
470,6590.47458,0.00312
471,6588.54585,0.00517
472,6586.61711,0.00654
473,6584.68838,0.00498
474,6582.75965,0.00222
475,6580.83092,0.00158
476,6578.90219,0.0024
477,6576.97346,0.00276
478,6575.04473,0.00357
479,6573.116,0.00489
480,6571.18726,0.00511
481,6569.25853,0.00451
482,6567.3298,0.00421
483,6565.40107,0.00429
484,6563.47234,0.00473
485,6561.54361,0.0055
486,6559.61488,0.00527
487,6557.68615,0.00325
488,6555.75742,0.00093
489,6553.82868,-0.00015
490,6551.89995,0.00103
491,6549.97122,0.00447
492,6548.04249,0.00784
493,6546.11376,0.00842
494,6544.18503,0.00646
495,6542.2563,0.00478
496,6540.32757,0.00435
497,6538.39883,0.00398
498,6536.4701,0.00353
499,6534.54137,0.00324
500,6532.61264,0.00299
501,6530.68391,0.00328
502,6528.75518,0.00469
503,6526.82645,0.00663
504,6524.89772,0.0072
505,6522.96898,0.00569
506,6521.04025,0.00394
507,6519.11152,0.00369
508,6517.18279,0.0047
509,6515.25406,0.00599
510,6513.32533,0.00651
511,6511.3966,0.00571
512,6509.46787,0.00437
513,6507.53913,0.00351
514,6505.6104,0.0031
515,6503.68167,0.00229
516,6501.75294,0.0019
517,6499.82421,0.00309
518,6497.89548,0.00406
519,6495.96675,0.00371
520,6494.03802,0.00376
521,6492.10928,0.0046
522,6490.18055,0.00507
523,6488.25182,0.00497
524,6486.32309,0.00463
525,6484.39436,0.00433
526,6482.46563,0.00398
527,6480.5369,0.00359
528,6478.60817,0.00359
529,6476.67944,0.00386
530,6474.7507,0.00493
531,6472.82197,0.00708
532,6470.89324,0.00809
533,6468.96451,0.00676
534,6467.03578,0.00494
535,6465.10705,0.00417
536,6463.17832,0.00433
537,6461.24959,0.00459
538,6459.32085,0.00447
539,6457.39212,0.00396
540,6455.46339,0.00363
541,6453.53466,0.00383
542,6451.60593,0.00387
543,6449.6772,0.00363
544,6447.74847,0.00385
545,6445.81974,0.00465
546,6443.891,0.00541
547,6441.96227,0.0053
548,6440.03354,0.00483
549,6438.10481,0.00514
550,6436.17608,0.00567
551,6434.24735,0.00569
552,6432.31862,0.00622
553,6430.38989,0.00782
554,6428.46115,0.00857
555,6426.53242,0.00667
556,6424.60369,0.00357
557,6422.67496,0.00206
558,6420.74623,0.00306
559,6418.8175,0.00518
560,6416.88877,0.0065
561,6414.96004,0.00633
562,6413.0313,0.00526
563,6411.10257,0.00406
564,6409.17384,0.0037
565,6407.24511,0.00439
566,6405.31638,0.0049
567,6403.38765,0.00497
568,6401.45892,0.00571
569,6399.53019,0.00679
570,6397.60146,0.00688
571,6395.67272,0.00598
572,6393.74399,0.00522
573,6391.81526,0.00529
574,6389.88653,0.00562
575,6387.9578,0.00529
576,6386.02907,0.00485
577,6384.10034,0.00529
578,6382.17161,0.00589
579,6380.24287,0.00581
580,6378.31414,0.00581
581,6376.38541,0.0062
582,6374.45668,0.00623
583,6372.52795,0.00605
584,6370.59922,0.00623
585,6368.67049,0.00626
586,6366.74176,0.00572
587,6364.81302,0.00526
588,6362.88429,0.00519
589,6360.95556,0.00544
590,6359.02683,0.00631
591,6357.0981,0.00699
592,6355.16937,0.00624
593,6353.24064,0.00471
594,6351.31191,0.00359
595,6349.38317,0.00301
596,6347.45444,0.00274
597,6345.52571,0.00289
598,6343.59698,0.00337
599,6341.66825,0.00376
600,6339.73952,0.00394
601,6337.81079,0.00429
602,6335.88206,0.00532
603,6333.95332,0.00655
604,6332.02459,0.0067
605,6330.09586,0.00584
606,6328.16713,0.00515
607,6326.2384,0.00539
608,6324.30967,0.00612
609,6322.38094,0.00614
610,6320.45221,0.00571
611,6318.52348,0.00564
612,6316.59474,0.00517
613,6314.66601,0.00428
614,6312.73728,0.00413
615,6310.80855,0.00495
616,6308.87982,0.00593
617,6306.95109,0.00646
618,6305.02236,0.00658
619,6303.09363,0.00658
620,6301.16489,0.00655
621,6299.23616,0.0066
622,6297.30743,0.00754
623,6295.3787,0.00914
624,6293.44997,0.00947
625,6291.52124,0.00826
626,6289.59251,0.00733
627,6287.66378,0.00769
628,6285.73504,0.00831
629,6283.80631,0.00788
630,6281.87758,0.00681
631,6279.94885,0.00628
632,6278.02012,0.00675
633,6276.09139,0.00753
634,6274.16266,0.00777
635,6272.23393,0.00817
636,6270.30519,0.00893
637,6268.37646,0.00901
638,6266.44773,0.00813
639,6264.519,0.00706
640,6262.59027,0.00671
641,6260.66154,0.00734
642,6258.73281,0.00841
643,6256.80408,0.00883
644,6254.87534,0.00833
645,6252.94661,0.0081
646,6251.01788,0.00877
647,6249.08915,0.00913
648,6247.16042,0.00806
649,6245.23169,0.00669
650,6243.30296,0.00641
651,6241.37423,0.00648
652,6239.4455,0.00625
653,6237.51676,0.00652
654,6235.58803,0.00723
655,6233.6593,0.00753
656,6231.73057,0.00779
657,6229.80184,0.00837
658,6227.87311,0.00818
659,6225.94438,0.00728
660,6224.01565,0.00697
661,6222.08691,0.00743
662,6220.15818,0.00802
663,6218.22945,0.00822
664,6216.30072,0.00812
665,6214.37199,0.00795
666,6212.44326,0.00746
667,6210.51453,0.00725
668,6208.5858,0.0076
669,6206.65706,0.00741
670,6204.72833,0.00675
671,6202.7996,0.00672
672,6200.87087,0.00725
673,6198.94214,0.00775
674,6197.01341,0.00829
675,6195.08468,0.00866
676,6193.15595,0.00836
677,6191.22721,0.00777
678,6189.29848,0.00741
679,6187.36975,0.00726
680,6185.44102,0.00732
681,6183.51229,0.00741
682,6181.58356,0.00727
683,6179.65483,0.00704
684,6177.7261,0.00694
685,6175.79736,0.00693
686,6173.86863,0.00714
687,6171.9399,0.00776
688,6170.01117,0.00833
689,6168.08244,0.00866
690,6166.15371,0.00888
691,6164.22498,0.00903
692,6162.29625,0.00951
693,6160.36752,0.00986
694,6158.43878,0.00883
695,6156.51005,0.0071
696,6154.58132,0.00658
697,6152.65259,0.0074
698,6150.72386,0.00825
699,6148.79513,0.00848
700,6146.8664,0.00848
701,6144.93767,0.00861
702,6143.00893,0.00839
703,6141.0802,0.00789
704,6139.15147,0.00812
705,6137.22274,0.0087
706,6135.29401,0.00885
707,6133.36528,0.00936
708,6131.43655,0.01004
709,6129.50782,0.00964
710,6127.57908,0.00854
711,6125.65035,0.00728
712,6123.72162,0.00615
713,6121.79289,0.00628
714,6119.86416,0.00761
715,6117.93543,0.00858
716,6116.0067,0.00874
717,6114.07797,0.00871
718,6112.14923,0.00878
719,6110.2205,0.00873
720,6108.29177,0.00851
721,6106.36304,0.0083
722,6104.43431,0.00862
723,6102.50558,0.00999
724,6100.57685,0.01126
725,6098.64812,0.01089
726,6096.71938,0.00972
727,6094.79065,0.0093
728,6092.86192,0.00911
729,6090.93319,0.0085
730,6089.00446,0.00823
731,6087.07573,0.00841
732,6085.147,0.00846
733,6083.21827,0.00836
734,6081.28954,0.0081
735,6079.3608,0.00783
736,6077.43207,0.00823
737,6075.50334,0.00919
738,6073.57461,0.00971
739,6071.64588,0.0095
740,6069.71715,0.00887
741,6067.78842,0.00854
742,6065.85969,0.00935
743,6063.93095,0.01049
744,6062.00222,0.01036
745,6060.07349,0.0093
746,6058.14476,0.00846
747,6056.21603,0.008
748,6054.2873,0.00784
749,6052.35857,0.00818
750,6050.42984,0.00857
751,6048.5011,0.00856
752,6046.57237,0.00863
753,6044.64364,0.00918
754,6042.71491,0.00978
755,6040.78618,0.01021
756,6038.85745,0.0104
757,6036.92872,0.01038
758,6034.99999,0.01053
759,6033.07125,0.01062
760,6031.14252,0.01041
761,6029.21379,0.01019
762,6027.28506,0.00986
763,6025.35633,0.00961
764,6023.4276,0.00962
765,6021.49887,0.00955
766,6019.57014,0.00966
767,6017.6414,0.01012
768,6015.71267,0.01005
769,6013.78394,0.00919
770,6011.85521,0.00823
771,6009.92648,0.00764
772,6007.99775,0.00774
773,6006.06902,0.0087
774,6004.14029,0.00959
775,6002.21156,0.00968
776,6000.28282,0.00974
777,5998.35409,0.01007
778,5996.42536,0.00984
779,5994.49663,0.00934
780,5992.5679,0.00948
781,5990.63917,0.01004
782,5988.71044,0.01035
783,5986.78171,0.01014
784,5984.85297,0.00965
785,5982.92424,0.00915
786,5980.99551,0.00857
787,5979.06678,0.00816
788,5977.13805,0.0081
789,5975.20932,0.00796
790,5973.28059,0.00786
791,5971.35186,0.00825
792,5969.42312,0.00841
793,5967.49439,0.00789
794,5965.56566,0.00777
795,5963.63693,0.00857
796,5961.7082,0.00925
797,5959.77947,0.00943
798,5957.85074,0.0097
799,5955.92201,0.01001
800,5953.99327,0.01003
801,5952.06454,0.01001
802,5950.13581,0.0101
803,5948.20708,0.01009
804,5946.27835,0.00986
805,5944.34962,0.00941
806,5942.42089,0.00894
807,5940.49216,0.00866
808,5938.56342,0.00854
809,5936.63469,0.00851
810,5934.70596,0.0086
811,5932.77723,0.00873
812,5930.8485,0.00901
813,5928.91977,0.00979
814,5926.99104,0.01047
815,5925.06231,0.01015
816,5923.13358,0.00929
817,5921.20484,0.00871
818,5919.27611,0.00854
819,5917.34738,0.00879
820,5915.41865,0.00942
821,5913.48992,0.00977
822,5911.56119,0.00935
823,5909.63246,0.00893
824,5907.70373,0.00936
825,5905.77499,0.01011
826,5903.84626,0.0102
827,5901.91753,0.00961
828,5899.9888,0.0094
829,5898.06007,0.00993
830,5896.13134,0.0102
831,5894.20261,0.0101
832,5892.27388,0.0103
833,5890.34514,0.01046
834,5888.41641,0.01046
835,5886.48768,0.01104
836,5884.55895,0.01174
837,5882.63022,0.01166
838,5880.70149,0.01137
839,5878.77276,0.01106
840,5876.84403,0.01033
841,5874.91529,0.00992
842,5872.98656,0.01024
843,5871.05783,0.0106
844,5869.1291,0.01058
845,5867.20037,0.01023
846,5865.27164,0.00993
847,5863.34291,0.01003
848,5861.41418,0.01034
849,5859.48544,0.01051
850,5857.55671,0.01036
851,5855.62798,0.00983
852,5853.69925,0.00946
853,5851.77052,0.00982
854,5849.84179,0.01041
855,5847.91306,0.0108
856,5845.98433,0.01106
857,5844.0556,0.01091
858,5842.12686,0.01057
859,5840.19813,0.01052
860,5838.2694,0.01054
861,5836.34067,0.01053
862,5834.41194,0.01068
863,5832.48321,0.01105
864,5830.55448,0.01136
865,5828.62575,0.01113
866,5826.69701,0.0105
867,5824.76828,0.00976
868,5822.83955,0.00915
869,5820.91082,0.00913
870,5818.98209,0.00958
871,5817.05336,0.00985
872,5815.12463,0.00985
873,5813.1959,0.00971
874,5811.26716,0.00959
875,5809.33843,0.00993
876,5807.4097,0.01041
877,5805.48097,0.01042
878,5803.55224,0.01035
879,5801.62351,0.01047
880,5799.69478,0.01059
881,5797.76605,0.01096
882,5795.83731,0.01146
883,5793.90858,0.01162
884,5791.97985,0.0115
885,5790.05112,0.01137
886,5788.12239,0.0116
887,5786.19366,0.01228
888,5784.26493,0.01285
889,5782.3362,0.01306
890,5780.40746,0.01274
891,5778.47873,0.0122
892,5776.55,0.01212
893,5774.62127,0.01206
894,5772.69254,0.01175
895,5770.76381,0.01147
896,5768.83508,0.0111
897,5766.90635,0.01094
898,5764.97762,0.01124
899,5763.04888,0.01159
900,5761.12015,0.01166
901,5759.19142,0.0116
902,5757.26269,0.01157
903,5755.33396,0.01149
904,5753.40523,0.01154
905,5751.4765,0.01191
906,5749.54777,0.01236
907,5747.61903,0.0126
908,5745.6903,0.01253
909,5743.76157,0.01204
910,5741.83284,0.01138
911,5739.90411,0.01118
912,5737.97538,0.01162
913,5736.04665,0.01203
914,5734.11792,0.01217
915,5732.18918,0.01245
916,5730.26045,0.01291
917,5728.33172,0.01311
918,5726.40299,0.01277
919,5724.47426,0.01218
920,5722.54553,0.01186
921,5720.6168,0.012
922,5718.68807,0.01241
923,5716.75933,0.013
924,5714.8306,0.01352
925,5712.90187,0.01357
926,5710.97314,0.0133
927,5709.04441,0.01305
928,5707.11568,0.01292
929,5705.18695,0.01292
930,5703.25822,0.01281
931,5701.32948,0.01236
932,5699.40075,0.01185
933,5697.47202,0.01177
934,5695.54329,0.01187
935,5693.61456,0.01203
936,5691.68583,0.01225
937,5689.7571,0.01191
938,5687.82837,0.0112
939,5685.89964,0.0112
940,5683.9709,0.01184
941,5682.04217,0.01232
942,5680.11344,0.0125
943,5678.18471,0.01251
944,5676.25598,0.01238
945,5674.32725,0.01214
946,5672.39852,0.0121
947,5670.46979,0.01233
948,5668.54105,0.01231
949,5666.61232,0.01204
950,5664.68359,0.01206
951,5662.75486,0.01214
952,5660.82613,0.012
953,5658.8974,0.01191
954,5656.96867,0.01194
955,5655.03994,0.01201
956,5653.1112,0.01215
957,5651.18247,0.01224
958,5649.25374,0.01223
959,5647.32501,0.01231
960,5645.39628,0.01243
961,5643.46755,0.01243
962,5641.53882,0.01247
963,5639.61009,0.01248
964,5637.68135,0.01236
965,5635.75262,0.01231
966,5633.82389,0.01234
967,5631.89516,0.01217
968,5629.96643,0.01195
969,5628.0377,0.01204
970,5626.10897,0.01237
971,5624.18024,0.01269
972,5622.2515,0.01287
973,5620.32277,0.01291
974,5618.39404,0.01296
975,5616.46531,0.01321
976,5614.53658,0.01358
977,5612.60785,0.01368
978,5610.67912,0.01343
979,5608.75039,0.01318
980,5606.82166,0.01324
981,5604.89292,0.01356
982,5602.96419,0.01366
983,5601.03546,0.01357
984,5599.10673,0.01355
985,5597.178,0.01326
986,5595.24927,0.01267
987,5593.32054,0.01229
988,5591.39181,0.01221
989,5589.46307,0.01225
990,5587.53434,0.01237
991,5585.60561,0.01235
992,5583.67688,0.0122
993,5581.74815,0.01231
994,5579.81942,0.01258
995,5577.89069,0.01266
996,5575.96196,0.01271
997,5574.03322,0.01292
998,5572.10449,0.01313
999,5570.17576,0.01344
1000,5568.24703,0.01377
1001,5566.3183,0.01371
1002,5564.38957,0.0133
1003,5562.46084,0.01295
1004,5560.53211,0.01279
1005,5558.60337,0.01278
1006,5556.67464,0.01297
1007,5554.74591,0.01315
1008,5552.81718,0.01303
1009,5550.88845,0.01279
1010,5548.95972,0.0128
1011,5547.03099,0.01308
1012,5545.10226,0.01348
1013,5543.17352,0.01374
1014,5541.24479,0.0138
1015,5539.31606,0.01375
1016,5537.38733,0.0135
1017,5535.4586,0.01319
1018,5533.52987,0.01305
1019,5531.60114,0.0131
1020,5529.67241,0.01322
1021,5527.74368,0.01321
1022,5525.81494,0.01296
1023,5523.88621,0.01276
1024,5521.95748,0.01283
1025,5520.02875,0.01307
1026,5518.10002,0.01321
1027,5516.17129,0.01314
1028,5514.24256,0.01313
1029,5512.31383,0.01334
1030,5510.38509,0.01345
1031,5508.45636,0.01329
1032,5506.52763,0.01327
1033,5504.5989,0.01347
1034,5502.67017,0.01367
