,wavenumber,absorbance
0,7496.97825,-0.00018
1,7495.04952,0.00274
2,7493.12079,0.00102
3,7491.19206,-0.00291
4,7489.26333,-0.00508
5,7487.33459,-0.00348
6,7485.40586,0.0004
7,7483.47713,0.00377
8,7481.5484,0.00505
9,7479.61967,0.00396
10,7477.69094,0.00209
11,7475.76221,0.00189
12,7473.83348,0.00286
13,7471.90474,0.00218
14,7469.97601,-0.00134
15,7468.04728,-0.00595
16,7466.11855,-0.00844
17,7464.18982,-0.00811
18,7462.26109,-0.00748
19,7460.33236,-0.00823
20,7458.40363,-0.009
21,7456.47489,-0.00709
22,7454.54616,-0.0036
23,7452.61743,-0.00178
24,7450.6887,-0.00055
25,7448.75997,0.00119
26,7446.83124,0.00063
27,7444.90251,-0.00255
28,7442.97378,-0.00412
29,7441.04504,-0.00214
30,7439.11631,0.00068
31,7437.18758,0.00185
32,7435.25885,0.00086
33,7433.33012,-0.00029
34,7431.40139,0.00038
35,7429.47266,-0.00053
36,7427.54393,-0.00484
37,7425.6152,-0.00819
38,7423.68646,-0.00816
39,7421.75773,-0.00628
40,7419.829,-0.00353
41,7417.90027,0.00043
42,7415.97154,0.00359
43,7414.04281,0.00365
44,7412.11408,0.00222
45,7410.18535,0.00109
46,7408.25661,-0.00065
47,7406.32788,-0.00382
48,7404.39915,-0.00677
49,7402.47042,-0.00826
50,7400.54169,-0.00876
51,7398.61296,-0.0073
52,7396.68423,-0.00328
53,7394.7555,0.00151
54,7392.82676,0.00469
55,7390.89803,0.00484
56,7388.9693,0.0025
57,7387.04057,0.0002
58,7385.11184,0.00063
59,7383.18311,0.00233
60,7381.25438,0.00041
61,7379.32565,-0.00445
62,7377.39691,-0.00534
63,7375.46818,-0.00154
64,7373.53945,-0.00045
65,7371.61072,-0.00368
66,7369.68199,-0.00633
67,7367.75326,-0.00764
68,7365.82453,-0.0093
69,7363.8958,-0.01003
70,7361.96706,-0.00792
71,7360.03833,-0.00362
72,7358.1096,-0.00018
73,7356.18087,0.00085
74,7354.25214,0.0014
75,7352.32341,0.00351
76,7350.39468,0.00524
77,7348.46595,0.00307
78,7346.53722,-0.001
79,7344.60848,-0.00272
80,7342.67975,-0.00299
81,7340.75102,-0.00335
82,7338.82229,-0.00306
83,7336.89356,-0.00103
84,7334.96483,0.00254
85,7333.0361,0.00331
86,7331.10737,-0.00159
87,7329.17863,-0.00686
88,7327.2499,-0.00673
89,7325.32117,-0.00284
90,7323.39244,0.00019
91,7321.46371,-0.00028
92,7319.53498,-0.00303
93,7317.60625,-0.00352
94,7315.67752,-0.00075
95,7313.74878,0.00068
96,7311.82005,-0.00075
97,7309.89132,-0.00166
98,7307.96259,-0.00128
99,7306.03386,-0.00097
100,7304.10513,-0.00039
101,7302.1764,0.00019
102,7300.24767,-0.00044
103,7298.31893,-0.00177
104,7296.3902,-0.00206
105,7294.46147,-0.00138
106,7292.53274,-0.00086
107,7290.60401,0.00047
108,7288.67528,0.00355
109,7286.74655,0.00621
110,7284.81782,0.00638
111,7282.88908,0.00526
112,7280.96035,0.00438
113,7279.03162,0.00303
114,7277.10289,0.00138
115,7275.17416,0.00067
116,7273.24543,-0.00052
117,7271.3167,-0.00239
118,7269.38797,-0.00174
119,7267.45924,0.00095
120,7265.5305,0.00183
121,7263.60177,0.00056
122,7261.67304,-0.00049
123,7259.74431,-0.00055
124,7257.81558,-0.00051
125,7255.88685,-0.0009
126,7253.95812,-0.00108
127,7252.02939,-0.00012
128,7250.10065,0.00112
129,7248.17192,0.00073
130,7246.24319,-0.00118
131,7244.31446,-0.00276
132,7242.38573,-0.0022
133,7240.457,7e-05
134,7238.52827,0.00127
135,7236.59954,0.00096
136,7234.6708,0.0001
137,7232.74207,-0.00228
138,7230.81334,-0.00501
139,7228.88461,-0.00479
140,7226.95588,-0.00207
141,7225.02715,0.00124
142,7223.09842,0.00536
143,7221.16969,0.00925
144,7219.24095,0.00992
145,7217.31222,0.00762
146,7215.38349,0.00549
147,7213.45476,0.00416
148,7211.52603,0.00229
149,7209.5973,0.00083
150,7207.66857,0.00232
151,7205.73984,0.00633
152,7203.8111,0.00957
153,7201.88237,0.00959
154,7199.95364,0.0063
155,7198.02491,0.0019
156,7196.09618,-0.0007
157,7194.16745,0.00026
158,7192.23872,0.00332
159,7190.30999,0.00339
160,7188.38126,-0.0002
161,7186.45252,-0.00101
162,7184.52379,0.00227
163,7182.59506,0.00395
164,7180.66633,0.00332
165,7178.7376,0.0035
166,7176.80887,0.00393
167,7174.88014,0.00391
168,7172.95141,0.00455
169,7171.02267,0.00555
170,7169.09394,0.00587
171,7167.16521,0.00523
172,7165.23648,0.004
173,7163.30775,0.00322
174,7161.37902,0.00345
175,7159.45029,0.00354
176,7157.52156,0.00251
177,7155.59282,0.0007
178,7153.66409,-0.0008
179,7151.73536,0.00033
180,7149.80663,0.00444
181,7147.8779,0.00689
182,7145.94917,0.00498
183,7144.02044,0.0025
184,7142.09171,0.00316
185,7140.16297,0.00547
186,7138.23424,0.00592
187,7136.30551,0.00403
188,7134.37678,0.00275
189,7132.44805,0.00309
190,7130.51932,0.00342
191,7128.59059,0.00457
192,7126.66186,0.00696
193,7124.73312,0.00648
194,7122.80439,0.00275
195,7120.87566,0.00102
196,7118.94693,0.00239
197,7117.0182,0.0032
198,7115.08947,0.00266
199,7113.16074,0.00308
200,7111.23201,0.00454
201,7109.30328,0.00503
202,7107.37454,0.00433
203,7105.44581,0.00356
204,7103.51708,0.00218
205,7101.58835,-0.00023
206,7099.65962,-0.00148
207,7097.73089,0.00018
208,7095.80216,0.00307
209,7093.87343,0.00412
210,7091.94469,0.003
211,7090.01596,0.0025
212,7088.08723,0.00437
213,7086.1585,0.00673
214,7084.22977,0.00689
215,7082.30104,0.00492
216,7080.37231,0.00323
217,7078.44358,0.0033
218,7076.51484,0.0043
219,7074.58611,0.00497
220,7072.65738,0.00465
221,7070.72865,0.00359
222,7068.79992,0.00235
223,7066.87119,0.00132
224,7064.94246,0.001
225,7063.01373,0.0017
226,7061.08499,0.00321
227,7059.15626,0.00451
228,7057.22753,0.00398
229,7055.2988,0.00222
230,7053.37007,0.0023
231,7051.44134,0.0046
232,7049.51261,0.00592
233,7047.58388,0.00438
234,7045.65514,0.0024
235,7043.72641,0.00338
236,7041.79768,0.00541
237,7039.86895,0.00515
238,7037.94022,0.00408
239,7036.01149,0.00378
240,7034.08276,0.00344
241,7032.15403,0.00285
242,7030.2253,0.00174
243,7028.29656,-4e-05
244,7026.36783,-0.00169
245,7024.4391,-0.00275
246,7022.51037,-0.00232
247,7020.58164,7e-05
248,7018.65291,0.00224
249,7016.72418,0.00285
250,7014.79545,0.003
251,7012.86671,0.00312
252,7010.93798,0.00335
253,7009.00925,0.00429
254,7007.08052,0.00537
255,7005.15179,0.00523
256,7003.22306,0.00363
257,7001.29433,0.00188
258,6999.3656,0.00162
259,6997.43686,0.00297
260,6995.50813,0.00437
261,6993.5794,0.00462
262,6991.65067,0.00437
263,6989.72194,0.00443
264,6987.79321,0.00374
265,6985.86448,0.00177
266,6983.93575,-0.00039
267,6982.00701,-0.00176
268,6980.07828,-0.00141
269,6978.14955,0.00025
270,6976.22082,0.00142
271,6974.29209,0.00162
272,6972.36336,0.00128
273,6970.43463,0.00031
274,6968.5059,-0.0011
275,6966.57716,-0.00161
276,6964.64843,-0.00017
277,6962.7197,0.00225
278,6960.79097,0.00313
279,6958.86224,0.00189
280,6956.93351,0.00087
281,6955.00478,0.00088
282,6953.07605,0.00119
283,6951.14732,0.0021
284,6949.21858,0.0029
285,6947.28985,0.00247
286,6945.36112,0.0022
287,6943.43239,0.00319
288,6941.50366,0.00411
289,6939.57493,0.00432
290,6937.6462,0.00369
291,6935.71747,0.00114
292,6933.78873,-0.00178
293,6931.86,-0.00169
294,6929.93127,0.00153
295,6928.00254,0.00479
296,6926.07381,0.00613
297,6924.14508,0.00593
298,6922.21635,0.00493
299,6920.28762,0.00468
300,6918.35888,0.00684
301,6916.43015,0.00975
302,6914.50142,0.01032
303,6912.57269,0.00835
304,6910.64396,0.00664
305,6908.71523,0.00713
306,6906.7865,0.0079
307,6904.85777,0.00642
308,6902.92903,0.00393
309,6901.0003,0.00375
310,6899.07157,0.00591
311,6897.14284,0.0077
312,6895.21411,0.0084
313,6893.28538,0.00894
314,6891.35665,0.00942
315,6889.42792,0.00942
316,6887.49918,0.00865
317,6885.57045,0.00719
318,6883.64172,0.00578
319,6881.71299,0.00433
320,6879.78426,0.00235
321,6877.85553,0.00142
322,6875.9268,0.00206
323,6873.99807,0.0027
324,6872.06934,0.0036
325,6870.1406,0.00515
326,6868.21187,0.00643
327,6866.28314,0.00732
328,6864.35441,0.0077
329,6862.42568,0.00761
330,6860.49695,0.00813
331,6858.56822,0.00974
332,6856.63949,0.01105
333,6854.71075,0.01046
334,6852.78202,0.00848
335,6850.85329,0.00757
336,6848.92456,0.00797
337,6846.99583,0.00724
338,6845.0671,0.00565
339,6843.13837,0.00543
340,6841.20964,0.00601
341,6839.2809,0.00554
342,6837.35217,0.00397
343,6835.42344,0.00246
344,6833.49471,0.00239
345,6831.56598,0.00431
346,6829.63725,0.00605
347,6827.70852,0.00635
348,6825.77979,0.00646
349,6823.85105,0.00654
350,6821.92232,0.00639
351,6819.99359,0.0058
352,6818.06486,0.00431
353,6816.13613,0.00335
354,6814.2074,0.00439
355,6812.27867,0.00568
356,6810.34994,0.00525
357,6808.4212,0.0043
358,6806.49247,0.00384
359,6804.56374,0.00348
360,6802.63501,0.00349
361,6800.70628,0.00372
362,6798.77755,0.00359
363,6796.84882,0.00285
364,6794.92009,0.0018
365,6792.99136,0.00179
366,6791.06262,0.00262
367,6789.13389,0.00273
368,6787.20516,0.0022
369,6785.27643,0.0016
370,6783.3477,0.0014
371,6781.41897,0.00168
372,6779.49024,0.00163
373,6777.56151,0.00205
374,6775.63277,0.00383
375,6773.70404,0.00552
