,wavenumber,absorbance
0,7496.97825,0.00333
1,7495.04952,0.00268
2,7493.12079,0.00118
3,7491.19206,-0.00151
4,7489.26333,-0.00336
5,7487.33459,-0.00136
6,7485.40586,0.00293
7,7483.47713,0.00353
8,7481.5484,-0.00117
9,7479.61967,-0.00669
10,7477.69094,-0.00938
11,7475.76221,-0.00737
12,7473.83348,-0.00247
13,7471.90474,0.00011
14,7469.97601,0.00011
15,7468.04728,0.00113
16,7466.11855,0.00394
17,7464.18982,0.00714
18,7462.26109,0.00892
19,7460.33236,0.00706
20,7458.40363,0.00258
21,7456.47489,0.00045
22,7454.54616,0.00289
23,7452.61743,0.0064
24,7450.6887,0.00621
25,7448.75997,0.00266
26,7446.83124,0.00072
27,7444.90251,0.00203
28,7442.97378,0.00501
29,7441.04504,0.00783
30,7439.11631,0.0081
31,7437.18758,0.00617
32,7435.25885,0.00408
33,7433.33012,0.00218
34,7431.40139,0.00239
35,7429.47266,0.00599
36,7427.54393,0.00923
37,7425.6152,0.00937
38,7423.68646,0.0075
39,7421.75773,0.00366
40,7419.829,-0.00109
41,7417.90027,-0.00243
42,7415.97154,0.00132
43,7414.04281,0.00733
44,7412.11408,0.01171
45,7410.18535,0.01218
46,7408.25661,0.00913
47,7406.32788,0.00481
48,7404.39915,0.00204
49,7402.47042,0.0012
50,7400.54169,0.00011
51,7398.61296,-0.00094
52,7396.68423,-0.00065
53,7394.7555,-0.0004
54,7392.82676,-0.00055
55,7390.89803,0.00078
56,7388.9693,0.0036
57,7387.04057,0.00522
58,7385.11184,0.00378
59,7383.18311,0.00071
60,7381.25438,-0.00087
61,7379.32565,-0.0003
62,7377.39691,-0.00031
63,7375.46818,-0.00279
64,7373.53945,-0.00514
65,7371.61072,-0.00366
66,7369.68199,-4e-05
67,7367.75326,0.0018
68,7365.82453,0.00332
69,7363.8958,0.00683
70,7361.96706,0.00934
71,7360.03833,0.00712
72,7358.1096,0.00177
73,7356.18087,-0.00161
74,7354.25214,-0.00115
75,7352.32341,0.00114
76,7350.39468,0.00354
77,7348.46595,0.00535
78,7346.53722,0.00617
79,7344.60848,0.00587
80,7342.67975,0.00523
81,7340.75102,0.0051
82,7338.82229,0.00447
83,7336.89356,0.00342
84,7334.96483,0.00467
85,7333.0361,0.00746
86,7331.10737,0.0068
87,7329.17863,0.00251
88,7327.2499,0.00053
89,7325.32117,0.00197
90,7323.39244,0.00247
91,7321.46371,0.00202
92,7319.53498,0.0025
93,7317.60625,0.00185
94,7315.67752,-0.00025
95,7313.74878,-0.00019
96,7311.82005,0.00328
97,7309.89132,0.00681
98,7307.96259,0.00703
99,7306.03386,0.00514
100,7304.10513,0.00468
101,7302.1764,0.00585
102,7300.24767,0.00625
103,7298.31893,0.00437
104,7296.3902,0.00119
105,7294.46147,-0.00016
106,7292.53274,0.0015
107,7290.60401,0.00358
108,7288.67528,0.00397
109,7286.74655,0.00343
110,7284.81782,0.00309
111,7282.88908,0.0029
112,7280.96035,0.00315
113,7279.03162,0.00436
114,7277.10289,0.00467
115,7275.17416,0.00287
116,7273.24543,0.00199
117,7271.3167,0.00371
118,7269.38797,0.0053
119,7267.45924,0.00538
120,7265.5305,0.00523
121,7263.60177,0.00511
122,7261.67304,0.00501
123,7259.74431,0.00603
124,7257.81558,0.00792
125,7255.88685,0.00847
126,7253.95812,0.00597
127,7252.02939,0.00147
128,7250.10065,-0.00121
129,7248.17192,-0.00063
130,7246.24319,0.00094
131,7244.31446,0.0027
132,7242.38573,0.00584
133,7240.457,0.00919
134,7238.52827,0.0102
135,7236.59954,0.00904
136,7234.6708,0.00759
137,7232.74207,0.00573
138,7230.81334,0.00363
139,7228.88461,0.00371
140,7226.95588,0.00536
141,7225.02715,0.00614
142,7223.09842,0.00657
143,7221.16969,0.00772
144,7219.24095,0.00894
145,7217.31222,0.0095
146,7215.38349,0.00891
147,7213.45476,0.00775
148,7211.52603,0.00804
149,7209.5973,0.00979
150,7207.66857,0.01119
151,7205.73984,0.01199
152,7203.8111,0.01303
153,7201.88237,0.01449
154,7199.95364,0.01641
155,7198.02491,0.01783
156,7196.09618,0.01598
157,7194.16745,0.01039
158,7192.23872,0.00586
159,7190.30999,0.00638
160,7188.38126,0.01018
161,7186.45252,0.01387
162,7184.52379,0.01547
163,7182.59506,0.01298
164,7180.66633,0.00705
165,7178.7376,0.00307
166,7176.80887,0.00466
167,7174.88014,0.00917
168,7172.95141,0.01178
169,7171.02267,0.01167
170,7169.09394,0.01097
171,7167.16521,0.00978
172,7165.23648,0.00775
173,7163.30775,0.00605
174,7161.37902,0.00566
175,7159.45029,0.00664
176,7157.52156,0.00793
177,7155.59282,0.00852
178,7153.66409,0.00887
179,7151.73536,0.00879
180,7149.80663,0.00811
181,7147.8779,0.008
182,7145.94917,0.0082
183,7144.02044,0.0076
184,7142.09171,0.00661
185,7140.16297,0.00651
186,7138.23424,0.0081
187,7136.30551,0.01037
188,7134.37678,0.01176
189,7132.44805,0.01229
190,7130.51932,0.01223
191,7128.59059,0.0114
192,7126.66186,0.01056
193,7124.73312,0.01094
194,7122.80439,0.0121
195,7120.87566,0.01211
196,7118.94693,0.00992
197,7117.0182,0.00697
198,7115.08947,0.00561
199,7113.16074,0.00589
200,7111.23201,0.00618
201,7109.30328,0.00581
202,7107.37454,0.00534
203,7105.44581,0.00507
204,7103.51708,0.00563
205,7101.58835,0.00776
206,7099.65962,0.00922
207,7097.73089,0.00745
208,7095.80216,0.00427
209,7093.87343,0.00357
210,7091.94469,0.00618
211,7090.01596,0.00934
212,7088.08723,0.01052
213,7086.1585,0.00955
214,7084.22977,0.00808
215,7082.30104,0.00853
216,7080.37231,0.01077
217,7078.44358,0.01178
218,7076.51484,0.01041
219,7074.58611,0.00866
220,7072.65738,0.00814
221,7070.72865,0.00852
222,7068.79992,0.00918
223,7066.87119,0.00986
224,7064.94246,0.01008
225,7063.01373,0.00954
226,7061.08499,0.00893
227,7059.15626,0.00976
228,7057.22753,0.01237
229,7055.2988,0.01483
230,7053.37007,0.01552
231,7051.44134,0.01483
232,7049.51261,0.01358
233,7047.58388,0.01265
234,7045.65514,0.01235
235,7043.72641,0.01139
236,7041.79768,0.01002
237,7039.86895,0.01038
238,7037.94022,0.01188
239,7036.01149,0.012
240,7034.08276,0.01105
241,7032.15403,0.01066
242,7030.2253,0.01036
243,7028.29656,0.00934
244,7026.36783,0.00841
245,7024.4391,0.00838
246,7022.51037,0.00945
247,7020.58164,0.01073
248,7018.65291,0.0106
249,7016.72418,0.00975
250,7014.79545,0.00993
251,7012.86671,0.00968
252,7010.93798,0.00839
253,7009.00925,0.00869
254,7007.08052,0.00996
255,7005.15179,0.00958
256,7003.22306,0.00833
257,7001.29433,0.00838
258,6999.3656,0.01021
259,6997.43686,0.01219
260,6995.50813,0.01257
261,6993.5794,0.01133
262,6991.65067,0.01008
263,6989.72194,0.01047
264,6987.79321,0.01175
265,6985.86448,0.0121
266,6983.93575,0.01131
267,6982.00701,0.01006
268,6980.07828,0.00956
269,6978.14955,0.01107
270,6976.22082,0.01325
271,6974.29209,0.01366
272,6972.36336,0.01228
273,6970.43463,0.01068
274,6968.5059,0.01018
275,6966.57716,0.01086
276,6964.64843,0.01143
277,6962.7197,0.01062
278,6960.79097,0.00852
279,6958.86224,0.00683
280,6956.93351,0.00667
281,6955.00478,0.00743
282,6953.07605,0.0081
283,6951.14732,0.00748
284,6949.21858,0.00587
285,6947.28985,0.00528
286,6945.36112,0.00618
287,6943.43239,0.00775
288,6941.50366,0.00991
289,6939.57493,0.0115
290,6937.6462,0.01109
291,6935.71747,0.00976
292,6933.78873,0.0088
293,6931.86,0.0079
294,6929.93127,0.00679
295,6928.00254,0.00641
296,6926.07381,0.00773
297,6924.14508,0.00917
298,6922.21635,0.00933
299,6920.28762,0.00938
300,6918.35888,0.00958
301,6916.43015,0.00924
302,6914.50142,0.00882
303,6912.57269,0.00884
304,6910.64396,0.00908
305,6908.71523,0.00962
