,wavenumber,absorbance
0,7496.94889,-0.01088
1,7495.02016,-0.02807
2,7493.09144,-0.03845
3,7491.16272,-0.03624
4,7489.23399,-0.02823
5,7487.30527,-0.02427
6,7485.37654,-0.02214
7,7483.44782,-0.019
8,7481.5191,-0.01803
9,7479.59037,-0.01738
10,7477.66165,-0.01578
11,7475.73293,-0.01848
12,7473.8042,-0.02067
13,7471.87548,-0.01448
14,7469.94676,-0.00842
15,7468.01803,-0.00931
16,7466.08931,-0.01133
17,7464.16058,-0.01118
18,7462.23186,-0.01195
19,7460.30314,-0.01781
20,7458.37441,-0.02695
21,7456.44569,-0.03119
22,7454.51697,-0.02658
23,7452.58824,-0.01918
24,7450.65952,-0.01931
25,7448.73079,-0.0259
26,7446.80207,-0.02601
27,7444.87335,-0.01661
28,7442.94462,-0.01186
29,7441.0159,-0.01931
30,7439.08718,-0.02494
31,7437.15845,-0.02047
32,7435.22973,-0.01551
33,7433.30101,-0.01421
34,7431.37228,-0.01195
35,7429.44356,-0.00693
36,7427.51483,-0.00223
37,7425.58611,-0.00349
38,7423.65739,-0.0127
39,7421.72866,-0.02374
40,7419.79994,-0.02582
41,7417.87122,-0.01501
42,7415.94249,-0.00228
43,7414.01377,0.00041
44,7412.08505,-0.00277
45,7410.15632,-0.00284
46,7408.2276,-0.00048
47,7406.29887,0.00049
48,7404.37015,-0.00187
49,7402.44143,-0.00925
50,7400.5127,-0.0198
51,7398.58398,-0.0254
52,7396.65526,-0.02137
53,7394.72653,-0.01414
54,7392.79781,-0.01039
55,7390.86908,-0.01054
56,7388.94036,-0.0131
57,7387.01164,-0.01415
58,7385.08291,-0.01099
59,7383.15419,-0.0077
60,7381.22547,-0.00632
61,7379.29674,-0.00451
62,7377.36802,-0.00353
63,7375.4393,-0.00403
64,7373.51057,-0.00436
65,7371.58185,-0.00502
66,7369.65312,-0.00658
67,7367.7244,-0.00697
68,7365.79568,-0.00352
69,7363.86695,0.00104
70,7361.93823,0.00248
71,7360.00951,0.0011
72,7358.08078,-0.00259
73,7356.15206,-0.00712
74,7354.22334,-0.00881
75,7352.29461,-0.00731
76,7350.36589,-0.00596
77,7348.43716,-0.00607
78,7346.50844,-0.00598
79,7344.57972,-0.00827
80,7342.65099,-0.01527
81,7340.72227,-0.01838
82,7338.79355,-0.0113
83,7336.86482,-0.00199
84,7334.9361,0.00175
85,7333.00737,0.00313
86,7331.07865,0.00875
87,7329.14993,0.01609
88,7327.2212,0.015
89,7325.29248,0.00301
90,7323.36376,-0.0109
91,7321.43503,-0.01992
92,7319.50631,-0.0228
93,7317.57759,-0.0188
94,7315.64886,-0.01075
95,7313.72014,-0.00409
96,7311.79141,-0.00204
97,7309.86269,-0.00409
98,7307.93397,-0.00777
99,7306.00524,-0.0121
100,7304.07652,-0.01574
101,7302.1478,-0.01523
102,7300.21907,-0.01132
103,7298.29035,-0.01139
104,7296.36163,-0.01621
105,7294.4329,-0.01542
106,7292.50418,-0.00738
107,7290.57545,-0.00342
108,7288.64673,-0.00772
