,wavenumber,absorbance
0,7496.94889,-0.00753
1,7495.02016,-0.01787
2,7493.09144,-0.02575
3,7491.16272,-0.0229
4,7489.23399,-0.01196
5,7487.30527,-0.00879
6,7485.37654,-0.01264
7,7483.44782,-0.01504
8,7481.5191,-0.01704
9,7479.59037,-0.01631
10,7477.66165,-0.01366
11,7475.73293,-0.01484
12,7473.8042,-0.01364
13,7471.87548,-0.00745
14,7469.94676,-0.00636
15,7468.01803,-0.01109
16,7466.08931,-0.01346
17,7464.16058,-0.01183
18,7462.23186,-0.01239
19,7460.30314,-0.02033
20,7458.37441,-0.03023
21,7456.44569,-0.03209
22,7454.51697,-0.02553
23,7452.58824,-0.02014
24,7450.65952,-0.0212
25,7448.73079,-0.02444
26,7446.80207,-0.02613
27,7444.87335,-0.02477
28,7442.94462,-0.02144
29,7441.0159,-0.02252
30,7439.08718,-0.02743
31,7437.15845,-0.02852
32,7435.22973,-0.02434
33,7433.30101,-0.01861
34,7431.37228,-0.01416
35,7429.44356,-0.00992
36,7427.51483,-0.00717
37,7425.58611,-0.01142
38,7423.65739,-0.02056
39,7421.72866,-0.02694
40,7419.79994,-0.02695
41,7417.87122,-0.02312
42,7415.94249,-0.02178
43,7414.01377,-0.02254
44,7412.08505,-0.01983
45,7410.15632,-0.01384
46,7408.2276,-0.00566
47,7406.29887,0.00219
48,7404.37015,0.00139
49,7402.44143,-0.01073
50,7400.5127,-0.02706
51,7398.58398,-0.03592
52,7396.65526,-0.0291
53,7394.72653,-0.01503
54,7392.79781,-0.00836
55,7390.86908,-0.01077
56,7388.94036,-0.01587
57,7387.01164,-0.01599
58,7385.08291,-0.0077
59,7383.15419,0.00058
60,7381.22547,0.00217
61,7379.29674,0.001
62,7377.36802,-0.00013
63,7375.4393,-0.00164
64,7373.51057,-0.00507
65,7371.58185,-0.01173
66,7369.65312,-0.01706
67,7367.7244,-0.01527
68,7365.79568,-0.00771
69,7363.86695,-6e-05
70,7361.93823,0.00368
71,7360.00951,0.00274
72,7358.08078,-0.00066
73,7356.15206,-0.00412
74,7354.22334,-0.00652
75,7352.29461,-0.00827
76,7350.36589,-0.01224
77,7348.43716,-0.01654
78,7346.50844,-0.01554
79,7344.57972,-0.01358
80,7342.65099,-0.01695
81,7340.72227,-0.01754
82,7338.79355,-0.00964
83,7336.86482,-0.00376
84,7334.9361,-0.00411
85,7333.00737,-0.00089
86,7331.07865,0.01131
87,7329.14993,0.02431
88,7327.2212,0.02373
89,7325.29248,0.00885
90,7323.36376,-0.00621
91,7321.43503,-0.01372
92,7319.50631,-0.01231
93,7317.57759,-0.00253
94,7315.64886,0.00485
95,7313.72014,0.00134
96,7311.79141,-0.00672
97,7309.86269,-0.01174
98,7307.93397,-0.01205
99,7306.00524,-0.01096
100,7304.07652,-0.01145
101,7302.1478,-0.00845
102,7300.21907,-0.00095
103,7298.29035,0.00138
104,7296.36163,-0.00256
105,7294.4329,-0.00363
106,7292.50418,-8e-05
107,7290.57545,0.00295
108,7288.64673,0.00238
109,7286.71801,0.00191
110,7284.78928,0.00548
111,7282.86056,0.00547
112,7280.93184,-0.00433
113,7279.00311,-0.01601
114,7277.07439,-0.02009
115,7275.14566,-0.01472
116,7273.21694,-0.00417
117,7271.28822,0.00207
118,7269.35949,-0.00187
119,7267.43077,-0.00793
120,7265.50205,-0.00556
121,7263.57332,0.00042
122,7261.6446,-0.00035
123,7259.71588,-0.00533
124,7257.78715,-0.00747
125,7255.85843,-0.00622
126,7253.9297,-0.00189
