"dataset","BSiPercent"
"AS-01 (8_24_16).0",21
"AS-03 (8_29_16).0",12
"AS-04 (8_29_16).0",12
"AS-05 (8_29_16).0",13
"AS-07 (8_24_16).0",17
"AS-08 (8_29_16).0",16
"AS-10 (8_29_16).0",19
"AS-11 (8_29_16).0",17
"AS-12 (8_29_16).0",19
"AS-14 (8_29_16).0",17
"AS-15 (8_29_16).0",22
"AS-19 (8_29_16).0",23
"AS-22 (8_30_16).0",19
"AS-23 (8_24_16).0",18
"AS-24 (8_24_16).0",9
"AS-29 (8_29_16).0",17
"AS-32 (8_29_16).0",27
"AS-33 (8_29_16).0",22
"AS-35 (8_24_16).0",25
"AS-36 (8_29_16).0",28
"AS-38 (8_24_16).0",21
"AS-39 (8_29_16).0",27
"AS-41 (8_30_16).0",25
"AS-43 (8_29_16).0",25
"AS-44 (8_29_16).0",25
"AS-47 (8_29_16).0",22
"AS-48 (8_24_16).0",19
"AS-49 (8_24_16).0",24
"AS-51 (8_24_16).0",26
"AS-52 (8_31_16).0",25
"AS-53 (8_24_16).0",21
"AS-55 (8_29_16).0",21
"AS-57 (8_29_16).0",18
"AS-59 (8_29_16).0",19
"AS-61 (8_29_16).0",22
"AS-66 (8_24_16).0",7
"AS-67 (8_31_16).0",20
"AS-71 (8_24_16).0",15
"AS-73 (8_24_16).0",22
"AS-77 (8_24_16).0",21
"AS-79 (8_24_16).0",17
"AS-85.5 (8_24_16).0",24
"AS-86.5 (8_29_16).0",26
"AS-91.5 (8_24_16).0",24
"AS-92.5 (8_29_16).0",25
"AS-93.5 (8_24_16).0",26
"AS-99.5 (8_24_16).0",20
"AS-102.5 (8_29_16).0",23
"AS-105.5 (8_24_16).0",28
"AS-107.5 (8_29_16).0",27
"AS-113.5 (8_30_16).0",21
"AS-114.5 (8_24_16).0",23
"AS-117.5 (8_31_16).0",23
"AS-119.5 (8_29_16).0",24
"AS-128 (8_30_16).0",24
"AS-130 (8_31_16).0",24
"AS-132 (8_29_16).0",23
"AS-197 (8_30_16).0",17
"AS-213 (8_31_16).0",20
"AS-216 (8_31_16).0",17
"AS-229 (8_31_16).0",24
"AS-256 (8_24_16).0",27
"AS-259 (8_29_16).0",25
"AS-266 (8_31_16).0",20
"AS-280 (8_31_16).0",19
"AS-290 (8_31_16).0",25
"AS-303 (8_31_16).0",18
"AS-311 (8_24_16).0",16
"AS-323.25 (8_31_16).0",24
"AS-331 (8_31_16).0",25
"AS-332 (8_31_16).0",18
"AS-342 (8_30_16).0",29
"AS-347 (8_29_16).0",21
"AS-348 (8_31_16).0",27
"AS-355.5 (8_29_16).0",14
"AS-364 (8_24_16).0",24
"AS-382 (8_30_16).0",16
"AS-383 (8_29_16).0",10
"AS-384 (8_31_16).0",14
"AS-393.5 (8_30_16).0",14
"AS-394.5 (8_30_16).0",25
"AS-395.5 (8_29_16).0",18
"AS-400 (8_31_16).0",16
"AS-416 (8_31_16).0",22
"AS-417 (8_29_16).0",27
"AS-418 (8_31_16).0",14
"AS-421.5 (8_30_16).0",25
"AS-423 (8_30_16).0",28
"AS-424.5 (8_30_16).0",28
"AS-542 (8_29_16).0",13
"AW-7.5 (8_31_16).0",16
"AW-11.5 (8_31_16).0",13
"AW-17.5 (8_31_16).0",18
"AW-34.5 (8_31_16).0",10
"AW-73 (8_31_16).0",19
"AW-107.5 (8_31_16).0",24
"AW-124 (8_31_16).0",23
"AW-142.5 (8_31_16).0",28
"AW-210 (8_31_16).0",20
"AW-400.5 (8_31_16).0",16
"AW-410 (8_31_16).0",12
"AW-424.5 (8_31_16).0",10
